"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.77,0.53,3,0,6.967,0.945,NA,NA,NA,NA,NA,56,35.724,0.638,0.409
"DRR","DRR","DRR",NA,NA,0.53,0.06,3,0.459,4.839,0.452,NA,NA,NA,NA,NA,45,10.545,0.234,0.051
"HSLMDS [k=103] [kQuality=100] (HSLocalMDS)","HSLMDS [k=103] [kQuality=100] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.78,0.56,1,NA,162.421,0.904,NA,NA,NA,NA,NA,63,45.061,0.715,0.458
"HSLMDS [k=103] [kQuality=101] (HSLocalMDS)","HSLMDS [k=103] [kQuality=101] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.78,0.56,1,NA,161.958,0.904,NA,NA,NA,NA,NA,63,45.061,0.715,0.458
"HSLMDS [k=103] [kQuality=102] (HSLocalMDS)","HSLMDS [k=103] [kQuality=102] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.78,0.56,1,NA,161.973,0.904,NA,NA,NA,NA,NA,63,45.061,0.715,0.458
"HSLMDS [k=103] [kQuality=103] (HSLocalMDS)","HSLMDS [k=103] [kQuality=103] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.78,0.56,1,NA,161.912,0.904,NA,NA,NA,NA,NA,63,45.061,0.715,0.458
"HSLMDS [k=103] [kQuality=104] (HSLocalMDS)","HSLMDS [k=103] [kQuality=104] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.78,0.56,1,NA,162.385,0.904,NA,NA,NA,NA,NA,63,45.061,0.715,0.458
"HSLMDS [k=103] [kQuality=105] (HSLocalMDS)","HSLMDS [k=103] [kQuality=105] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.78,0.56,1,NA,162.382,0.904,NA,NA,NA,NA,NA,63,45.061,0.715,0.458
"HSLMDS [k=103] [kQuality=106] (HSLocalMDS)","HSLMDS [k=103] [kQuality=106] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.78,0.56,1,NA,162.873,0.904,NA,NA,NA,NA,NA,63,45.061,0.715,0.458
"HSLMDS [k=11] [kQuality=10] (HSLocalMDS)","HSLMDS [k=11] [kQuality=10] (HSLocalMDS)","HSLMDS (HSLocalMDS)",11,NA,0.73,0.45,1,NA,1326.515,1,NA,NA,NA,NA,NA,40,22.285,0.557,0.394
