"","id","k","Agr","ER(Agr)","AdjNum","AdjDenom","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted","AgrAdj"
"1","DRR",1,0.0555555555555556,0.0112359550561798,0.0443196004993758,0.98876404494382,"DRR",NA,NA,0.61,0.22,3,0,2.966,0.615,0.846,0.385,0.579,0.846,0.688,19,7.589,0.399,0.186,0.0443196004993758
"2","DRR",2,0.0777777777777778,0.0224719101123595,0.0553058676654182,0.97752808988764,"DRR",NA,NA,0.61,0.22,3,0,2.966,0.615,0.846,0.385,0.579,0.846,0.688,19,7.589,0.399,0.186,0.0553058676654182
"3","DRR",3,0.103703703703704,0.0337078651685393,0.0699958385351644,0.966292134831461,"DRR",NA,NA,0.61,0.22,3,0,2.966,0.615,0.846,0.385,0.579,0.846,0.688,19,7.589,0.399,0.186,0.0699958385351644
"4","DRR",4,0.116666666666667,0.0449438202247191,0.0717228464419476,0.955056179775281,"DRR",NA,NA,0.61,0.22,3,0,2.966,0.615,0.846,0.385,0.579,0.846,0.688,19,7.589,0.399,0.186,0.0717228464419476
"5","DRR",5,0.157777777777778,0.0561797752808989,0.101598002496879,0.943820224719101,"DRR",NA,NA,0.61,0.22,3,0,2.966,0.615,0.846,0.385,0.579,0.846,0.688,19,7.589,0.399,0.186,0.101598002496879
"6","DRR",6,0.177777777777778,0.0674157303370786,0.110362047440699,0.932584269662921,"DRR",NA,NA,0.61,0.22,3,0,2.966,0.615,0.846,0.385,0.579,0.846,0.688,19,7.589,0.399,0.186,0.110362047440699
"7","DRR",7,0.204761904761905,0.0786516853932584,0.126110219368646,0.921348314606742,"DRR",NA,NA,0.61,0.22,3,0,2.966,0.615,0.846,0.385,0.579,0.846,0.688,19,7.589,0.399,0.186,0.126110219368646
"8","DRR",8,0.226388888888889,0.0898876404494382,0.136501248439451,0.910112359550562,"DRR",NA,NA,0.61,0.22,3,0,2.966,0.615,0.846,0.385,0.579,0.846,0.688,19,7.589,0.399,0.186,0.136501248439451
"9","DRR",9,0.237037037037037,0.101123595505618,0.135913441531419,0.898876404494382,"DRR",NA,NA,0.61,0.22,3,0,2.966,0.615,0.846,0.385,0.579,0.846,0.688,19,7.589,0.399,0.186,0.135913441531419
"10","DRR",10,0.258888888888889,0.112359550561798,0.146529338327091,0.887640449438202,"DRR",NA,NA,0.61,0.22,3,0,2.966,0.615,0.846,0.385,0.579,0.846,0.688,19,7.589,0.399,0.186,0.146529338327091
