"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"37","GSE21034",185,43419,8032515,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.73,0.46,3,0,3.258,0.722,NA,NA,NA,NA,NA,64,44.654,0.698,0.35
"38","GSE21034",185,43419,8032515,"smacof_MDS (R)","smacof_MDS (R)","smacof_MDS (R)",NA,NA,0.64,0.27,3,0,0.022,0.759,NA,NA,NA,NA,NA,47,21.805,0.464,0.209
"39","GSE21034",185,43419,8032515,"LMDS [k=159] (smacofx R)","LMDS [k=159] (smacofx R)","LMDS (smacofx R)",159,NA,0.63,0.25,1,NA,3.229,0.722,NA,NA,NA,NA,NA,34,12.811,0.377,0.192
"40","GSE21034",185,43419,8032515,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.61,0.22,3,0.005,1.542,0.722,NA,NA,NA,NA,NA,39,15.097,0.387,0.175
"41","GSE21034",185,43419,8032515,"DRR","DRR","DRR",NA,NA,0.61,0.22,3,0.006,3.739,0.722,NA,NA,NA,NA,NA,39,15.081,0.387,0.175
"42","GSE21034",185,43419,8032515,"kPCA","kPCA","kPCA",NA,NA,0.51,0.02,3,0,0.167,0.722,NA,NA,NA,NA,NA,64,23.503,0.367,0.019
"43","GSE28735",90,28869,2598210,"HSLMDS [k=15] [kQuality=17] (Rcpp)","HSLMDS [k=15] [kQuality=17] (Rcpp)","HSLMDS (Rcpp)",15,NA,0.75,0.49,1,NA,6.924,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"44","GSE28735",90,28869,2598210,"LMDS [k=15] [kQuality=18] (Rcpp)","LMDS [k=15] [kQuality=18] (Rcpp)","LMDS (Rcpp)",15,NA,0.75,0.49,1,NA,6.93,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"45","GSE28735",90,28869,2598210,"UMAP [k=9]","UMAP [k=9]","UMAP",9,NA,0.71,0.42,1,NA,0.121,0.962,1,0.923,0.929,1,0.963,20,11.367,0.568,0.344
"46","GSE28735",90,28869,2598210,"tSNE [perp=21]","tSNE [perp=21]","tSNE",NA,21,0.76,0.52,1,NA,0.18,0.885,0.846,0.923,0.917,0.846,0.88,10,5.789,0.579,0.467
"47","GSE28735",90,28869,2598210,"Isomap [k=50]","Isomap [k=50]","Isomap",50,NA,0.75,0.49,1,NA,0.203,0.846,0.846,0.846,0.846,0.846,0.846,29,19.9,0.686,0.36
"48","GSE28735",90,28869,2598210,"MDS (Rcpp)","MDS (Rcpp)","MDS (Rcpp)",NA,NA,0.77,0.54,3,0,0.218,0.769,0.692,0.846,0.818,0.692,0.75,18,11,0.611,0.409
"49","GSE28735",90,28869,2598210,"LMDS [k=62] (smacofx R)","LMDS [k=62] (smacofx R)","LMDS (smacofx R)",62,NA,0.74,0.48,1,NA,0.68,0.769,0.692,0.846,0.818,0.692,0.75,18,10.244,0.569,0.367
"50","GSE28735",90,28869,2598210,"PPCA","PPCA","PPCA",NA,NA,0.74,0.48,3,0.009,1.209,0.769,0.692,0.846,0.818,0.692,0.75,18,10.244,0.569,0.367
