"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"29","GSE21034",185,43419,8032515,"HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)",NA,NA,0.83,0.65,3,0.014,28.347,0.704,NA,NA,NA,NA,NA,43,31.897,0.742,0.508
"30","GSE21034",185,43419,8032515,"HSLMDS [k=178] [kQuality=177] (HSLocalMDS)","HSLMDS [k=178] [kQuality=177] (HSLocalMDS)","HSLMDS (HSLocalMDS)",178,NA,0.83,0.65,1,NA,94.025,0.722,NA,NA,NA,NA,NA,46,35.097,0.763,0.513
"31","GSE21034",185,43419,8032515,"LMDS [k=184] [kQuality=182] (HSLocalMDS)","LMDS [k=184] [kQuality=182] (HSLocalMDS)","LMDS (HSLocalMDS)",184,NA,0.82,0.64,1,NA,14.073,0.63,NA,NA,NA,NA,NA,39,28.092,0.72,0.508
"32","GSE21034",185,43419,8032515,"MDS (HSLocalMDS)","MDS (HSLocalMDS)","MDS (HSLocalMDS)",NA,NA,0.81,0.62,3,0,1.329,0.722,NA,NA,NA,NA,NA,43,30.865,0.718,0.484
"33","GSE21034",185,43419,8032515,"Isomap [k=122]","Isomap [k=122]","Isomap",122,NA,0.8,0.6,1,NA,1.279,0.704,NA,NA,NA,NA,NA,40,27.092,0.677,0.46
"34","GSE21034",185,43419,8032515,"tSNE [perp=53]","tSNE [perp=53]","tSNE",NA,53,0.8,0.59,1,NA,0.944,0.741,NA,NA,NA,NA,NA,30,18.989,0.633,0.47
"35","GSE21034",185,43419,8032515,"PPCA","PPCA","PPCA",NA,NA,0.79,0.57,3,10360.447,68.498,0.704,NA,NA,NA,NA,NA,40,26.908,0.673,0.455
"36","GSE21034",185,43419,8032515,"UMAP [k=22]","UMAP [k=22]","UMAP",22,NA,0.74,0.48,1,NA,0.345,0.722,NA,NA,NA,NA,NA,37,19.805,0.535,0.334
"37","GSE21034",185,43419,8032515,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.73,0.46,3,0,3.228,0.722,NA,NA,NA,NA,NA,64,44.654,0.698,0.35
"38","GSE21034",185,43419,8032515,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.64,0.27,3,0,0.022,0.759,NA,NA,NA,NA,NA,47,21.811,0.464,0.209
"39","GSE21034",185,43419,8032515,"LMDS [k=159] (smacofx)","LMDS [k=159] (smacofx)","LMDS (smacofx)",159,NA,0.63,0.25,1,NA,3.463,0.722,NA,NA,NA,NA,NA,34,12.811,0.377,0.192
"40","GSE21034",185,43419,8032515,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.56,0.12,3,0,1.444,0.722,NA,NA,NA,NA,NA,30,7.422,0.247,0.084
"41","GSE21034",185,43419,8032515,"DRR","DRR","DRR",NA,NA,0.56,0.11,3,0.155,4.17,0.722,NA,NA,NA,NA,NA,34,8.886,0.261,0.077
"42","GSE21034",185,43419,8032515,"kPCA","kPCA","kPCA",NA,NA,0.53,0.05,3,0,0.215,0.722,NA,NA,NA,NA,NA,122,87.038,0.713,0.05
"43","GSE28735",90,28869,2598210,"LMDS [k=62] [kQuality=65] (HSLocalMDS)","LMDS [k=62] [kQuality=65] (HSLocalMDS)","LMDS (HSLocalMDS)",62,NA,0.77,0.54,1,NA,3.729,0.923,0.846,1,1,0.846,0.917,20,12.567,0.628,0.404
"44","GSE28735",90,28869,2598210,"HSLMDS [k=62] [kQuality=59] (HSLocalMDS)","HSLMDS [k=62] [kQuality=59] (HSLocalMDS)","HSLMDS (HSLocalMDS)",62,NA,0.77,0.54,1,NA,13.891,0.885,0.769,1,1,0.769,0.87,24,16.222,0.676,0.406
"45","GSE28735",90,28869,2598210,"UMAP [k=80]","UMAP [k=80]","UMAP",80,NA,0.68,0.34,1,NA,0.301,0.885,0.769,1,1,0.769,0.87,18,9.022,0.501,0.299
"46","GSE28735",90,28869,2598210,"tSNE [perp=21]","tSNE [perp=21]","tSNE",NA,21,0.76,0.52,1,NA,0.181,0.885,0.846,0.923,0.917,0.846,0.88,10,5.789,0.579,0.467
"47","GSE28735",90,28869,2598210,"Isomap [k=65]","Isomap [k=65]","Isomap",65,NA,0.76,0.51,1,NA,0.194,0.808,0.692,0.923,0.9,0.692,0.783,20,12.089,0.604,0.38
"48","GSE28735",90,28869,2598210,"PPCA","PPCA","PPCA",NA,NA,0.74,0.48,3,0.006,1.103,0.808,0.692,0.923,0.9,0.692,0.783,18,10.278,0.571,0.369
"49","GSE28735",90,28869,2598210,"MDS (HSLocalMDS)","MDS (HSLocalMDS)","MDS (HSLocalMDS)",NA,NA,0.77,0.54,3,0,0.245,0.769,0.692,0.846,0.818,0.692,0.75,18,11,0.611,0.409
"50","GSE28735",90,28869,2598210,"LMDS [k=86] (smacofx)","LMDS [k=86] (smacofx)","LMDS (smacofx)",86,NA,0.74,0.48,1,NA,0.611,0.769,0.692,0.846,0.818,0.692,0.75,18,10.244,0.569,0.367
"51","GSE28735",90,28869,2598210,"DRR","DRR","DRR",NA,NA,0.62,0.24,3,0,2.942,0.846,0.846,0.846,0.846,0.846,0.846,23,10.544,0.458,0.2
"52","GSE28735",90,28869,2598210,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.73,0.45,3,0,0.007,0.692,0.692,0.692,0.692,0.692,0.692,18,10.056,0.559,0.356
"53","GSE28735",90,28869,2598210,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.62,0.23,3,0.018,0.503,0.692,0.692,0.692,0.692,0.692,0.692,19,7.722,0.406,0.193
