"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"29","GSE18842",91,54675,4975425,"UMAP [k=57]","UMAP [k=57]","UMAP",57,NA,0.71,0.42,1,NA,0.281,1,1,1,1,1,1,13,7.033,0.541,0.397
"30","GSE18842",91,54675,4975425,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.66,0.31,3,0.022,1.041,0.846,0.923,0.769,0.8,0.923,0.857,28,16.22,0.579,0.268
"31","GSE18842",91,54675,4975425,"DRR","DRR","DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266
"32","GSE18842",91,54675,4975425,"kPCA","kPCA","kPCA",NA,NA,0.51,0.01,3,0,0.113,0.462,0.615,0.308,0.471,0.615,0.533,2,0.099,0.049,0.027
"33","GSE21034",185,43419,8032515,"HSLMDS [k=178] [kQuality=178] (NLDR)","HSLMDS [k=178] [kQuality=178] (NLDR)","HSLMDS (NLDR)",178,NA,0.83,0.66,1,NA,4.15,0.704,NA,NA,NA,NA,NA,40,29.362,0.734,0.517
"34","GSE21034",185,43419,8032515,"HSMDS (NLDR)","HSMDS (NLDR)","HSMDS (NLDR)",NA,NA,0.83,0.66,3,0.001,14.476,0.722,NA,NA,NA,NA,NA,39,28.665,0.735,0.523
"35","GSE21034",185,43419,8032515,"HSLMDS [k=97] (rNLDR)","HSLMDS [k=97] (rNLDR)","HSLMDS (rNLDR)",97,NA,0.83,0.66,1,NA,367.597,0.722,NA,NA,NA,NA,NA,39,28.476,0.73,0.518
"36","GSE21034",185,43419,8032515,"MDS (NLDR)","MDS (NLDR)","MDS (NLDR)",NA,NA,0.82,0.64,3,0,2.068,0.722,NA,NA,NA,NA,NA,38,27.086,0.713,0.506
"37","GSE21034",185,43419,8032515,"LMDS [k=90] (rNLDR)","LMDS [k=90] (rNLDR)","LMDS (rNLDR)",90,NA,0.82,0.64,1,NA,69.483,0.722,NA,NA,NA,NA,NA,42,30.957,0.737,0.509
"38","GSE21034",185,43419,8032515,"LMDS [k=178] [kQuality=181] (NLDR)","LMDS [k=178] [kQuality=181] (NLDR)","LMDS (NLDR)",178,NA,0.82,0.63,1,NA,2.573,0.667,NA,NA,NA,NA,NA,39,27.535,0.706,0.494
"39","GSE21034",185,43419,8032515,"Isomap [k=128]","Isomap [k=128]","Isomap",128,NA,0.8,0.6,1,NA,1.411,0.722,NA,NA,NA,NA,NA,41,27.919,0.681,0.458
"40","GSE21034",185,43419,8032515,"tSNE [perp=53]","tSNE [perp=53]","tSNE",NA,53,0.8,0.59,1,NA,1.042,0.741,NA,NA,NA,NA,NA,30,18.989,0.633,0.47
"41","GSE21034",185,43419,8032515,"PPCA","PPCA","PPCA",NA,NA,0.79,0.57,3,0.238,205.62,0.704,NA,NA,NA,NA,NA,40,26.908,0.673,0.455
"42","GSE21034",185,43419,8032515,"UMAP [k=22]","UMAP [k=22]","UMAP",22,NA,0.74,0.48,1,NA,0.399,0.722,NA,NA,NA,NA,NA,37,19.805,0.535,0.334
"43","GSE21034",185,43419,8032515,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.73,0.46,3,0.001,3.216,0.722,NA,NA,NA,NA,NA,64,44.654,0.698,0.35
"44","GSE21034",185,43419,8032515,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.64,0.27,3,0,0.021,0.759,NA,NA,NA,NA,NA,47,21.805,0.464,0.209
"45","GSE21034",185,43419,8032515,"LMDS [k=178] (smacofx)","LMDS [k=178] (smacofx)","LMDS (smacofx)",178,NA,0.63,0.25,1,NA,3.298,0.722,NA,NA,NA,NA,NA,34,12.811,0.377,0.192
"46","GSE21034",185,43419,8032515,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.61,0.22,3,0.022,1.602,0.722,NA,NA,NA,NA,NA,39,15.097,0.387,0.175
"47","GSE21034",185,43419,8032515,"DRR","DRR","DRR",NA,NA,0.61,0.22,3,0.029,4.192,0.722,NA,NA,NA,NA,NA,39,15.081,0.387,0.175
"48","GSE21034",185,43419,8032515,"kPCA","kPCA","kPCA",NA,NA,0.51,0.02,3,0,0.226,0.722,NA,NA,NA,NA,NA,64,23.503,0.367,0.019
"49","GSE28735",90,28869,2598210,"HSLMDS [k=24] [kQuality=25] (NLDR)","HSLMDS [k=24] [kQuality=25] (NLDR)","HSLMDS (NLDR)",24,NA,0.75,0.49,1,NA,0.572,0.923,1,0.846,0.867,1,0.929,18,11.011,0.612,0.409
"50","GSE28735",90,28869,2598210,"LMDS [k=15] [kQuality=14] (NLDR)","LMDS [k=15] [kQuality=14] (NLDR)","LMDS (NLDR)",15,NA,0.75,0.49,1,NA,1.31,0.962,1,0.923,0.929,1,0.963,18,11.433,0.635,0.433
"51","GSE28735",90,28869,2598210,"LMDS [k=15] (rNLDR)","LMDS [k=15] (rNLDR)","LMDS (rNLDR)",15,NA,0.75,0.49,1,NA,9.998,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"52","GSE28735",90,28869,2598210,"HSLMDS [k=15] (rNLDR)","HSLMDS [k=15] (rNLDR)","HSLMDS (rNLDR)",15,NA,0.75,0.49,1,NA,50.977,0.962,1,0.923,0.929,1,0.963,18,11.478,0.638,0.435
"53","GSE28735",90,28869,2598210,"UMAP [k=9]","UMAP [k=9]","UMAP",9,NA,0.71,0.42,1,NA,0.127,0.962,1,0.923,0.929,1,0.963,20,11.367,0.568,0.344
"54","GSE28735",90,28869,2598210,"tSNE [perp=21]","tSNE [perp=21]","tSNE",NA,21,0.76,0.52,1,NA,0.183,0.885,0.846,0.923,0.917,0.846,0.88,10,5.789,0.579,0.467
"55","GSE28735",90,28869,2598210,"Isomap [k=50]","Isomap [k=50]","Isomap",50,NA,0.75,0.49,1,NA,0.194,0.846,0.846,0.846,0.846,0.846,0.846,29,19.9,0.686,0.36
