"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"HSLMDS [k=9] [kQuality=9] (HSLocalMDS)","HSLMDS [k=9] [kQuality=9] (HSLocalMDS)","HSLMDS (HSLocalMDS)",9,NA,0.73,0.46,1,NA,11.461,0.923,0.923,0.923,0.923,0.923,0.923,19,11.811,0.622,0.408
"HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)",NA,NA,0.76,0.52,3,0.004,2.467,0.577,0.538,0.615,0.583,0.538,0.56,20,12.1,0.605,0.38
"Isomap [k=12]","Isomap [k=12]","Isomap",12,NA,0.73,0.45,1,NA,0.166,0.846,0.769,0.923,0.909,0.769,0.833,19,11.211,0.59,0.377
"Isomap [k=15]","Isomap [k=15]","Isomap",15,NA,0.73,0.46,1,NA,0.171,0.769,0.692,0.846,0.818,0.692,0.75,18,10.756,0.598,0.395
"Isomap [k=18]","Isomap [k=18]","Isomap",18,NA,0.73,0.46,1,NA,0.178,0.769,0.692,0.846,0.818,0.692,0.75,18,10.556,0.586,0.384
"Isomap [k=21]","Isomap [k=21]","Isomap",21,NA,0.73,0.46,1,NA,0.183,0.731,0.692,0.769,0.75,0.692,0.72,18,10.167,0.565,0.363
"Isomap [k=24]","Isomap [k=24]","Isomap",24,NA,0.73,0.45,1,NA,0.175,0.769,0.692,0.846,0.818,0.692,0.75,17,9.322,0.548,0.357
"Isomap [k=27]","Isomap [k=27]","Isomap",27,NA,0.73,0.44,1,NA,0.201,0.769,0.692,0.846,0.818,0.692,0.75,13,6.4,0.492,0.346
"Isomap [k=3]","Isomap [k=3]","Isomap",3,NA,0.71,0.41,1,NA,0.154,0.846,0.769,0.923,0.909,0.769,0.833,18,9.956,0.553,0.351
"Isomap [k=30]","Isomap [k=30]","Isomap",30,NA,0.73,0.45,1,NA,0.182,0.731,0.692,0.769,0.75,0.692,0.72,13,6.433,0.495,0.349
"Isomap [k=33]","Isomap [k=33]","Isomap",33,NA,0.73,0.45,1,NA,0.184,0.769,0.692,0.846,0.818,0.692,0.75,18,9.833,0.546,0.344
