"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.73,0.46,3,0,3.228,0.722,NA,NA,NA,NA,NA,64,44.654,0.698,0.35
"DRR","DRR","DRR",NA,NA,0.56,0.11,3,0.155,4.17,0.722,NA,NA,NA,NA,NA,34,8.886,0.261,0.077
"HSLMDS [k=103] [kQuality=100] (HSLocalMDS)","HSLMDS [k=103] [kQuality=100] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.81,0.61,1,NA,79.335,0.722,NA,NA,NA,NA,NA,37,25.162,0.68,0.479
"HSLMDS [k=103] [kQuality=101] (HSLocalMDS)","HSLMDS [k=103] [kQuality=101] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.81,0.61,1,NA,116.097,0.722,NA,NA,NA,NA,NA,39,26.827,0.688,0.476
"HSLMDS [k=103] [kQuality=102] (HSLocalMDS)","HSLMDS [k=103] [kQuality=102] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.81,0.61,1,NA,79.105,0.722,NA,NA,NA,NA,NA,37,25.162,0.68,0.479
"HSLMDS [k=103] [kQuality=103] (HSLocalMDS)","HSLMDS [k=103] [kQuality=103] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.81,0.62,1,NA,57.093,0.722,NA,NA,NA,NA,NA,38,26.178,0.689,0.482
"HSLMDS [k=103] [kQuality=104] (HSLocalMDS)","HSLMDS [k=103] [kQuality=104] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.81,0.62,1,NA,327.423,0.722,NA,NA,NA,NA,NA,38,26.168,0.689,0.482
"HSLMDS [k=103] [kQuality=105] (HSLocalMDS)","HSLMDS [k=103] [kQuality=105] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.81,0.62,1,NA,61.105,0.722,NA,NA,NA,NA,NA,39,27.081,0.694,0.482
"HSLMDS [k=103] [kQuality=106] (HSLocalMDS)","HSLMDS [k=103] [kQuality=106] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.81,0.61,1,NA,79.14,0.722,NA,NA,NA,NA,NA,37,25.162,0.68,0.479
"HSLMDS [k=109] [kQuality=106] (HSLocalMDS)","HSLMDS [k=109] [kQuality=106] (HSLocalMDS)","HSLMDS (HSLocalMDS)",109,NA,0.82,0.64,1,NA,75.242,0.741,NA,NA,NA,NA,NA,39,27.53,0.706,0.494
"HSLMDS [k=109] [kQuality=107] (HSLocalMDS)","HSLMDS [k=109] [kQuality=107] (HSLocalMDS)","HSLMDS (HSLocalMDS)",109,NA,0.82,0.64,1,NA,75.111,0.741,NA,NA,NA,NA,NA,39,27.53,0.706,0.494
"HSLMDS [k=109] [kQuality=108] (HSLocalMDS)","HSLMDS [k=109] [kQuality=108] (HSLocalMDS)","HSLMDS (HSLocalMDS)",109,NA,0.82,0.64,1,NA,75.359,0.741,NA,NA,NA,NA,NA,39,27.53,0.706,0.494
"HSLMDS [k=109] [kQuality=109] (HSLocalMDS)","HSLMDS [k=109] [kQuality=109] (HSLocalMDS)","HSLMDS (HSLocalMDS)",109,NA,0.82,0.64,1,NA,75.361,0.741,NA,NA,NA,NA,NA,39,27.53,0.706,0.494
"HSLMDS [k=109] [kQuality=110] (HSLocalMDS)","HSLMDS [k=109] [kQuality=110] (HSLocalMDS)","HSLMDS (HSLocalMDS)",109,NA,0.82,0.64,1,NA,74.98,0.741,NA,NA,NA,NA,NA,39,27.53,0.706,0.494
"HSLMDS [k=109] [kQuality=111] (HSLocalMDS)","HSLMDS [k=109] [kQuality=111] (HSLocalMDS)","HSLMDS (HSLocalMDS)",109,NA,0.82,0.64,1,NA,75.137,0.741,NA,NA,NA,NA,NA,39,27.53,0.706,0.494
"HSLMDS [k=109] [kQuality=112] (HSLocalMDS)","HSLMDS [k=109] [kQuality=112] (HSLocalMDS)","HSLMDS (HSLocalMDS)",109,NA,0.82,0.64,1,NA,75.039,0.741,NA,NA,NA,NA,NA,39,27.53,0.706,0.494
"HSLMDS [k=115] [kQuality=112] (HSLocalMDS)","HSLMDS [k=115] [kQuality=112] (HSLocalMDS)","HSLMDS (HSLocalMDS)",115,NA,0.82,0.63,1,NA,94.561,0.722,NA,NA,NA,NA,NA,39,27.454,0.704,0.492
"HSLMDS [k=115] [kQuality=113] (HSLocalMDS)","HSLMDS [k=115] [kQuality=113] (HSLocalMDS)","HSLMDS (HSLocalMDS)",115,NA,0.82,0.63,1,NA,94.443,0.722,NA,NA,NA,NA,NA,39,27.454,0.704,0.492
"HSLMDS [k=115] [kQuality=114] (HSLocalMDS)","HSLMDS [k=115] [kQuality=114] (HSLocalMDS)","HSLMDS (HSLocalMDS)",115,NA,0.82,0.63,1,NA,94.557,0.722,NA,NA,NA,NA,NA,39,27.454,0.704,0.492
"HSLMDS [k=115] [kQuality=115] (HSLocalMDS)","HSLMDS [k=115] [kQuality=115] (HSLocalMDS)","HSLMDS (HSLocalMDS)",115,NA,0.82,0.63,1,NA,94.265,0.722,NA,NA,NA,NA,NA,39,27.454,0.704,0.492
"HSLMDS [k=115] [kQuality=116] (HSLocalMDS)","HSLMDS [k=115] [kQuality=116] (HSLocalMDS)","HSLMDS (HSLocalMDS)",115,NA,0.82,0.63,1,NA,93.959,0.722,NA,NA,NA,NA,NA,39,27.454,0.704,0.492
