"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.81,0.61,3,0,3.046,0.9,0.9,0.9,0.9,0.9,0.9,117,109.489,0.936,0.498
"DRR","DRR","DRR",NA,NA,0.75,0.5,3,0.002,3.405,0.662,0.65,0.675,0.667,0.65,0.658,118,107.328,0.91,0.468
"HSLMDS [k=103] [kQuality=100] (HSLocalMDS)","HSLMDS [k=103] [kQuality=100] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.71,0.41,1,NA,2.056,0.662,0.9,0.425,0.61,0.9,0.727,2,1.664,0.832,0.825
"HSLMDS [k=103] [kQuality=101] (HSLocalMDS)","HSLMDS [k=103] [kQuality=101] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.71,0.41,1,NA,2.053,0.662,0.9,0.425,0.61,0.9,0.727,2,1.664,0.832,0.825
"HSLMDS [k=103] [kQuality=102] (HSLocalMDS)","HSLMDS [k=103] [kQuality=102] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.71,0.41,1,NA,2.059,0.662,0.9,0.425,0.61,0.9,0.727,2,1.664,0.832,0.825
"HSLMDS [k=103] [kQuality=103] (HSLocalMDS)","HSLMDS [k=103] [kQuality=103] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.71,0.41,1,NA,2.057,0.662,0.9,0.425,0.61,0.9,0.727,2,1.664,0.832,0.825
"HSLMDS [k=103] [kQuality=104] (HSLocalMDS)","HSLMDS [k=103] [kQuality=104] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.71,0.41,1,NA,2.027,0.662,0.9,0.425,0.61,0.9,0.727,2,1.664,0.832,0.825
"HSLMDS [k=103] [kQuality=105] (HSLocalMDS)","HSLMDS [k=103] [kQuality=105] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.71,0.41,1,NA,2.046,0.662,0.9,0.425,0.61,0.9,0.727,2,1.664,0.832,0.825
"HSLMDS [k=103] [kQuality=106] (HSLocalMDS)","HSLMDS [k=103] [kQuality=106] (HSLocalMDS)","HSLMDS (HSLocalMDS)",103,NA,0.71,0.41,1,NA,2.054,0.662,0.9,0.425,0.61,0.9,0.727,2,1.664,0.832,0.825
"HSLMDS [k=112] [kQuality=109] (HSLocalMDS)","HSLMDS [k=112] [kQuality=109] (HSLocalMDS)","HSLMDS (HSLocalMDS)",112,NA,0.7,0.4,1,NA,1.998,0.65,0.9,0.4,0.6,0.9,0.72,1,0.828,0.828,0.825
