"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.77,0.53,3,0,1.004,0.962,1,0.923,0.929,1,0.963,17,10.714,0.63,0.441
"DRR","DRR","DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266
"HSLMDS [k=12] (rNLDR)","HSLMDS [k=12] (rNLDR)","HSLMDS (rNLDR)",12,NA,0.74,0.48,1,NA,63.469,0.885,0.923,0.846,0.857,0.923,0.889,13,7.429,0.571,0.427
"HSLMDS [k=12] [kQuality=10] (NLDR)","HSLMDS [k=12] [kQuality=10] (NLDR)","HSLMDS (NLDR)",12,NA,0.73,0.46,1,NA,0.793,0.923,1,0.846,0.867,1,0.929,11,5.769,0.524,0.402
"HSLMDS [k=12] [kQuality=11] (NLDR)","HSLMDS [k=12] [kQuality=11] (NLDR)","HSLMDS (NLDR)",12,NA,0.73,0.46,1,NA,1.885,0.923,1,0.846,0.867,1,0.929,11,5.769,0.524,0.402
"HSLMDS [k=12] [kQuality=12] (NLDR)","HSLMDS [k=12] [kQuality=12] (NLDR)","HSLMDS (NLDR)",12,NA,0.73,0.45,1,NA,0.742,0.923,1,0.846,0.867,1,0.929,11,5.714,0.519,0.397
"HSLMDS [k=12] [kQuality=13] (NLDR)","HSLMDS [k=12] [kQuality=13] (NLDR)","HSLMDS (NLDR)",12,NA,0.75,0.48,1,NA,3.24,0.962,1,0.923,0.929,1,0.963,13,7.44,0.572,0.428
"HSLMDS [k=12] [kQuality=14] (NLDR)","HSLMDS [k=12] [kQuality=14] (NLDR)","HSLMDS (NLDR)",12,NA,0.73,0.46,1,NA,1.922,0.923,1,0.846,0.867,1,0.929,11,5.769,0.524,0.402
"HSLMDS [k=12] [kQuality=15] (NLDR)","HSLMDS [k=12] [kQuality=15] (NLDR)","HSLMDS (NLDR)",12,NA,0.73,0.46,1,NA,0.784,0.923,1,0.846,0.867,1,0.929,11,5.769,0.524,0.402
"HSLMDS [k=12] [kQuality=9] (NLDR)","HSLMDS [k=12] [kQuality=9] (NLDR)","HSLMDS (NLDR)",12,NA,0.73,0.45,1,NA,0.741,0.923,1,0.846,0.867,1,0.929,11,5.714,0.519,0.397
"HSLMDS [k=15] (rNLDR)","HSLMDS [k=15] (rNLDR)","HSLMDS (rNLDR)",15,NA,0.76,0.52,1,NA,62.101,0.923,1,0.846,0.867,1,0.929,15,9.418,0.628,0.461
"HSLMDS [k=15] [kQuality=12] (NLDR)","HSLMDS [k=15] [kQuality=12] (NLDR)","HSLMDS (NLDR)",15,NA,0.73,0.46,1,NA,1.264,0.885,1,0.769,0.812,1,0.897,15,8.495,0.566,0.4
"HSLMDS [k=15] [kQuality=13] (NLDR)","HSLMDS [k=15] [kQuality=13] (NLDR)","HSLMDS (NLDR)",15,NA,0.73,0.46,1,NA,1.24,0.885,1,0.769,0.812,1,0.897,15,8.495,0.566,0.4
"HSLMDS [k=15] [kQuality=14] (NLDR)","HSLMDS [k=15] [kQuality=14] (NLDR)","HSLMDS (NLDR)",15,NA,0.72,0.44,1,NA,1.13,0.923,1,0.846,0.867,1,0.929,15,8.319,0.555,0.388
"HSLMDS [k=15] [kQuality=15] (NLDR)","HSLMDS [k=15] [kQuality=15] (NLDR)","HSLMDS (NLDR)",15,NA,0.72,0.44,1,NA,1.129,0.923,1,0.846,0.867,1,0.929,15,8.319,0.555,0.388
"HSLMDS [k=15] [kQuality=16] (NLDR)","HSLMDS [k=15] [kQuality=16] (NLDR)","HSLMDS (NLDR)",15,NA,0.72,0.44,1,NA,1.1,0.923,1,0.846,0.867,1,0.929,15,8.319,0.555,0.388
