"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"HSLMDS [k=15] [kQuality=17] (NLDR)","HSLMDS [k=15] [kQuality=17] (NLDR)","HSLMDS (NLDR)",15,NA,0.72,0.44,1,NA,1.132,0.923,1,0.846,0.867,1,0.929,15,8.319,0.555,0.388
"HSLMDS [k=15] [kQuality=18] (NLDR)","HSLMDS [k=15] [kQuality=18] (NLDR)","HSLMDS (NLDR)",15,NA,0.72,0.44,1,NA,1.121,0.923,1,0.846,0.867,1,0.929,15,8.319,0.555,0.388
"HSLMDS [k=18] (rNLDR)","HSLMDS [k=18] (rNLDR)","HSLMDS (rNLDR)",18,NA,0.77,0.53,1,NA,62.629,0.846,0.769,0.923,0.909,0.769,0.833,21,14.758,0.703,0.469
"HSLMDS [k=18] [kQuality=15] (NLDR)","HSLMDS [k=18] [kQuality=15] (NLDR)","HSLMDS (NLDR)",18,NA,0.75,0.5,1,NA,1.55,0.846,0.769,0.923,0.909,0.769,0.833,22,15.033,0.683,0.439
"HSLMDS [k=18] [kQuality=16] (NLDR)","HSLMDS [k=18] [kQuality=16] (NLDR)","HSLMDS (NLDR)",18,NA,0.75,0.5,1,NA,1.561,0.846,0.769,0.923,0.909,0.769,0.833,22,15.033,0.683,0.439
"HSLMDS [k=18] [kQuality=17] (NLDR)","HSLMDS [k=18] [kQuality=17] (NLDR)","HSLMDS (NLDR)",18,NA,0.75,0.5,1,NA,1.428,0.846,0.769,0.923,0.909,0.769,0.833,22,15.044,0.684,0.439
"HSLMDS [k=18] [kQuality=18] (NLDR)","HSLMDS [k=18] [kQuality=18] (NLDR)","HSLMDS (NLDR)",18,NA,0.72,0.43,1,NA,0.678,0.885,0.846,0.923,0.917,0.846,0.88,21,12.648,0.602,0.369
"HSLMDS [k=18] [kQuality=19] (NLDR)","HSLMDS [k=18] [kQuality=19] (NLDR)","HSLMDS (NLDR)",18,NA,0.72,0.43,1,NA,0.68,0.885,0.846,0.923,0.917,0.846,0.88,21,12.648,0.602,0.369
"HSLMDS [k=18] [kQuality=20] (NLDR)","HSLMDS [k=18] [kQuality=20] (NLDR)","HSLMDS (NLDR)",18,NA,0.72,0.43,1,NA,0.681,0.885,0.846,0.923,0.917,0.846,0.88,21,12.648,0.602,0.369
"HSLMDS [k=18] [kQuality=21] (NLDR)","HSLMDS [k=18] [kQuality=21] (NLDR)","HSLMDS (NLDR)",18,NA,0.72,0.43,1,NA,0.681,0.885,0.846,0.923,0.917,0.846,0.88,21,12.648,0.602,0.369
"HSLMDS [k=21] (rNLDR)","HSLMDS [k=21] (rNLDR)","HSLMDS (rNLDR)",21,NA,0.77,0.53,1,NA,55.387,0.885,1,0.769,0.812,1,0.897,21,14.714,0.701,0.467
"HSLMDS [k=21] [kQuality=18] (NLDR)","HSLMDS [k=21] [kQuality=18] (NLDR)","HSLMDS (NLDR)",21,NA,0.75,0.5,1,NA,0.717,0.923,1,0.846,0.867,1,0.929,20,13.341,0.667,0.445
"HSLMDS [k=21] [kQuality=19] (NLDR)","HSLMDS [k=21] [kQuality=19] (NLDR)","HSLMDS (NLDR)",21,NA,0.76,0.5,1,NA,0.96,0.923,1,0.846,0.867,1,0.929,15,9.165,0.611,0.444
"HSLMDS [k=21] [kQuality=20] (NLDR)","HSLMDS [k=21] [kQuality=20] (NLDR)","HSLMDS (NLDR)",21,NA,0.75,0.5,1,NA,0.692,0.923,1,0.846,0.867,1,0.929,20,13.341,0.667,0.445
"HSLMDS [k=21] [kQuality=21] (NLDR)","HSLMDS [k=21] [kQuality=21] (NLDR)","HSLMDS (NLDR)",21,NA,0.75,0.5,1,NA,0.823,0.923,1,0.846,0.867,1,0.929,15,9.165,0.611,0.444
"HSLMDS [k=21] [kQuality=22] (NLDR)","HSLMDS [k=21] [kQuality=22] (NLDR)","HSLMDS (NLDR)",21,NA,0.76,0.5,1,NA,0.974,0.923,1,0.846,0.867,1,0.929,15,9.165,0.611,0.444
"HSLMDS [k=21] [kQuality=23] (NLDR)","HSLMDS [k=21] [kQuality=23] (NLDR)","HSLMDS (NLDR)",21,NA,0.75,0.5,1,NA,0.815,0.923,1,0.846,0.867,1,0.929,15,9.165,0.611,0.444
"HSLMDS [k=21] [kQuality=24] (NLDR)","HSLMDS [k=21] [kQuality=24] (NLDR)","HSLMDS (NLDR)",21,NA,0.75,0.5,1,NA,0.705,0.923,1,0.846,0.867,1,0.929,15,9.165,0.611,0.444
"HSLMDS [k=24] (rNLDR)","HSLMDS [k=24] (rNLDR)","HSLMDS (rNLDR)",24,NA,0.77,0.54,1,NA,60.504,0.923,1,0.846,0.867,1,0.929,21,14.593,0.695,0.462
"HSLMDS [k=24] [kQuality=21] (NLDR)","HSLMDS [k=24] [kQuality=21] (NLDR)","HSLMDS (NLDR)",24,NA,0.76,0.51,1,NA,0.715,0.923,1,0.846,0.867,1,0.929,20,13.308,0.665,0.443
"HSLMDS [k=24] [kQuality=22] (NLDR)","HSLMDS [k=24] [kQuality=22] (NLDR)","HSLMDS (NLDR)",24,NA,0.76,0.51,1,NA,0.689,0.923,1,0.846,0.867,1,0.929,20,13.308,0.665,0.443
"HSLMDS [k=24] [kQuality=23] (NLDR)","HSLMDS [k=24] [kQuality=23] (NLDR)","HSLMDS (NLDR)",24,NA,0.76,0.51,1,NA,0.737,0.923,1,0.846,0.867,1,0.929,15,9.154,0.61,0.444
"HSLMDS [k=24] [kQuality=24] (NLDR)","HSLMDS [k=24] [kQuality=24] (NLDR)","HSLMDS (NLDR)",24,NA,0.76,0.51,1,NA,0.706,0.923,1,0.846,0.867,1,0.929,20,13.308,0.665,0.443
"HSLMDS [k=24] [kQuality=25] (NLDR)","HSLMDS [k=24] [kQuality=25] (NLDR)","HSLMDS (NLDR)",24,NA,0.76,0.51,1,NA,0.756,0.923,1,0.846,0.867,1,0.929,15,9.154,0.61,0.444
"HSLMDS [k=24] [kQuality=26] (NLDR)","HSLMDS [k=24] [kQuality=26] (NLDR)","HSLMDS (NLDR)",24,NA,0.76,0.51,1,NA,0.832,0.923,1,0.846,0.867,1,0.929,20,13.308,0.665,0.443
"HSLMDS [k=24] [kQuality=27] (NLDR)","HSLMDS [k=24] [kQuality=27] (NLDR)","HSLMDS (NLDR)",24,NA,0.76,0.51,1,NA,0.769,0.923,1,0.846,0.867,1,0.929,20,13.308,0.665,0.443
"HSLMDS [k=27] (rNLDR)","HSLMDS [k=27] (rNLDR)","HSLMDS (rNLDR)",27,NA,0.78,0.55,1,NA,57.117,0.923,1,0.846,0.867,1,0.929,20,13.692,0.685,0.462
"HSLMDS [k=27] [kQuality=24] (NLDR)","HSLMDS [k=27] [kQuality=24] (NLDR)","HSLMDS (NLDR)",27,NA,0.76,0.52,1,NA,0.594,0.923,1,0.846,0.867,1,0.929,13,7.78,0.598,0.454
"HSLMDS [k=27] [kQuality=25] (NLDR)","HSLMDS [k=27] [kQuality=25] (NLDR)","HSLMDS (NLDR)",27,NA,0.76,0.52,1,NA,0.596,0.923,1,0.846,0.867,1,0.929,13,7.78,0.598,0.454
"HSLMDS [k=27] [kQuality=26] (NLDR)","HSLMDS [k=27] [kQuality=26] (NLDR)","HSLMDS (NLDR)",27,NA,0.76,0.52,1,NA,0.711,0.923,1,0.846,0.867,1,0.929,13,7.78,0.598,0.454
"HSLMDS [k=27] [kQuality=27] (NLDR)","HSLMDS [k=27] [kQuality=27] (NLDR)","HSLMDS (NLDR)",27,NA,0.76,0.52,1,NA,1.871,0.923,1,0.846,0.867,1,0.929,13,7.78,0.598,0.454
"HSLMDS [k=27] [kQuality=28] (NLDR)","HSLMDS [k=27] [kQuality=28] (NLDR)","HSLMDS (NLDR)",27,NA,0.76,0.52,1,NA,0.593,0.923,1,0.846,0.867,1,0.929,13,7.736,0.595,0.451
"HSLMDS [k=27] [kQuality=29] (NLDR)","HSLMDS [k=27] [kQuality=29] (NLDR)","HSLMDS (NLDR)",27,NA,0.76,0.52,1,NA,0.593,0.923,1,0.846,0.867,1,0.929,13,7.736,0.595,0.451
"HSLMDS [k=27] [kQuality=30] (NLDR)","HSLMDS [k=27] [kQuality=30] (NLDR)","HSLMDS (NLDR)",27,NA,0.76,0.52,1,NA,0.719,0.923,1,0.846,0.867,1,0.929,13,7.78,0.598,0.454
"HSLMDS [k=3] (rNLDR)","HSLMDS [k=3] (rNLDR)","HSLMDS (rNLDR)",3,NA,0.7,0.4,1,NA,57.603,0.923,1,0.846,0.867,1,0.929,26,16.835,0.648,0.359
"HSLMDS [k=3] [kQuality=1] (NLDR)","HSLMDS [k=3] [kQuality=1] (NLDR)","HSLMDS (NLDR)",3,NA,0.71,0.41,1,NA,0.908,0.923,1,0.846,0.867,1,0.929,17,9.505,0.559,0.37
"HSLMDS [k=3] [kQuality=2] (NLDR)","HSLMDS [k=3] [kQuality=2] (NLDR)","HSLMDS (NLDR)",3,NA,0.7,0.4,1,NA,0.798,0.923,1,0.846,0.867,1,0.929,26,16.835,0.648,0.359
"HSLMDS [k=3] [kQuality=3] (NLDR)","HSLMDS [k=3] [kQuality=3] (NLDR)","HSLMDS (NLDR)",3,NA,0.7,0.4,1,NA,0.784,0.923,1,0.846,0.867,1,0.929,26,16.835,0.648,0.359
"HSLMDS [k=3] [kQuality=4] (NLDR)","HSLMDS [k=3] [kQuality=4] (NLDR)","HSLMDS (NLDR)",3,NA,0.7,0.4,1,NA,0.806,0.923,1,0.846,0.867,1,0.929,26,16.835,0.648,0.359
"HSLMDS [k=3] [kQuality=5] (NLDR)","HSLMDS [k=3] [kQuality=5] (NLDR)","HSLMDS (NLDR)",3,NA,0.7,0.4,1,NA,0.815,0.923,1,0.846,0.867,1,0.929,26,16.835,0.648,0.359
"HSLMDS [k=3] [kQuality=6] (NLDR)","HSLMDS [k=3] [kQuality=6] (NLDR)","HSLMDS (NLDR)",3,NA,0.71,0.41,1,NA,0.871,0.923,1,0.846,0.867,1,0.929,17,9.505,0.559,0.37
"HSLMDS [k=30] (rNLDR)","HSLMDS [k=30] (rNLDR)","HSLMDS (rNLDR)",30,NA,0.78,0.55,1,NA,61.268,0.923,1,0.846,0.867,1,0.929,13,7.868,0.605,0.461
"HSLMDS [k=30] [kQuality=27] (NLDR)","HSLMDS [k=30] [kQuality=27] (NLDR)","HSLMDS (NLDR)",30,NA,0.76,0.52,1,NA,0.696,0.923,1,0.846,0.867,1,0.929,20,13.352,0.668,0.445
"HSLMDS [k=30] [kQuality=28] (NLDR)","HSLMDS [k=30] [kQuality=28] (NLDR)","HSLMDS (NLDR)",30,NA,0.76,0.52,1,NA,0.727,0.885,1,0.769,0.812,1,0.897,24,17.099,0.712,0.446
"HSLMDS [k=30] [kQuality=29] (NLDR)","HSLMDS [k=30] [kQuality=29] (NLDR)","HSLMDS (NLDR)",30,NA,0.76,0.52,1,NA,0.757,0.885,1,0.769,0.812,1,0.897,24,17.099,0.712,0.446
"HSLMDS [k=30] [kQuality=30] (NLDR)","HSLMDS [k=30] [kQuality=30] (NLDR)","HSLMDS (NLDR)",30,NA,0.76,0.52,1,NA,0.895,0.923,1,0.846,0.867,1,0.929,15,9.176,0.612,0.445
"HSLMDS [k=30] [kQuality=31] (NLDR)","HSLMDS [k=30] [kQuality=31] (NLDR)","HSLMDS (NLDR)",30,NA,0.76,0.52,1,NA,0.861,0.923,1,0.846,0.867,1,0.929,15,9.176,0.612,0.445
"HSLMDS [k=30] [kQuality=32] (NLDR)","HSLMDS [k=30] [kQuality=32] (NLDR)","HSLMDS (NLDR)",30,NA,0.76,0.52,1,NA,0.652,0.923,1,0.846,0.867,1,0.929,20,13.33,0.666,0.444
"HSLMDS [k=30] [kQuality=33] (NLDR)","HSLMDS [k=30] [kQuality=33] (NLDR)","HSLMDS (NLDR)",30,NA,0.76,0.52,1,NA,0.895,0.923,1,0.846,0.867,1,0.929,15,9.176,0.612,0.445
"HSLMDS [k=33] (rNLDR)","HSLMDS [k=33] (rNLDR)","HSLMDS (rNLDR)",33,NA,0.8,0.59,1,NA,56.361,0.962,1,0.923,0.929,1,0.963,13,8.055,0.62,0.475
"HSLMDS [k=33] [kQuality=30] (NLDR)","HSLMDS [k=33] [kQuality=30] (NLDR)","HSLMDS (NLDR)",33,NA,0.77,0.53,1,NA,1.154,0.885,1,0.769,0.812,1,0.897,24,17.011,0.709,0.442
"HSLMDS [k=33] [kQuality=31] (NLDR)","HSLMDS [k=33] [kQuality=31] (NLDR)","HSLMDS (NLDR)",33,NA,0.77,0.53,1,NA,1.144,0.885,1,0.769,0.812,1,0.897,24,17.011,0.709,0.442
"HSLMDS [k=33] [kQuality=32] (NLDR)","HSLMDS [k=33] [kQuality=32] (NLDR)","HSLMDS (NLDR)",33,NA,0.77,0.53,1,NA,1.165,0.885,1,0.769,0.812,1,0.897,24,17.011,0.709,0.442
"HSLMDS [k=33] [kQuality=33] (NLDR)","HSLMDS [k=33] [kQuality=33] (NLDR)","HSLMDS (NLDR)",33,NA,0.77,0.53,1,NA,1.161,0.885,1,0.769,0.812,1,0.897,24,17.011,0.709,0.442
"HSLMDS [k=33] [kQuality=34] (NLDR)","HSLMDS [k=33] [kQuality=34] (NLDR)","HSLMDS (NLDR)",33,NA,0.77,0.53,1,NA,1.16,0.885,1,0.769,0.812,1,0.897,24,17.011,0.709,0.442
"HSLMDS [k=33] [kQuality=35] (NLDR)","HSLMDS [k=33] [kQuality=35] (NLDR)","HSLMDS (NLDR)",33,NA,0.77,0.53,1,NA,1.149,0.885,1,0.769,0.812,1,0.897,24,17.011,0.709,0.442
"HSLMDS [k=33] [kQuality=36] (NLDR)","HSLMDS [k=33] [kQuality=36] (NLDR)","HSLMDS (NLDR)",33,NA,0.77,0.53,1,NA,1.103,0.885,1,0.769,0.812,1,0.897,24,17.011,0.709,0.442
"HSLMDS [k=36] (rNLDR)","HSLMDS [k=36] (rNLDR)","HSLMDS (rNLDR)",36,NA,0.8,0.59,1,NA,53.914,0.962,1,0.923,0.929,1,0.963,19,12.912,0.68,0.468
"HSLMDS [k=36] [kQuality=33] (NLDR)","HSLMDS [k=36] [kQuality=33] (NLDR)","HSLMDS (NLDR)",36,NA,0.77,0.54,1,NA,0.685,0.885,1,0.769,0.812,1,0.897,24,16.912,0.705,0.438
"HSLMDS [k=36] [kQuality=34] (NLDR)","HSLMDS [k=36] [kQuality=34] (NLDR)","HSLMDS (NLDR)",36,NA,0.77,0.54,1,NA,0.705,0.885,1,0.769,0.812,1,0.897,13,7.582,0.583,0.439
"HSLMDS [k=36] [kQuality=35] (NLDR)","HSLMDS [k=36] [kQuality=35] (NLDR)","HSLMDS (NLDR)",36,NA,0.77,0.54,1,NA,0.811,0.885,1,0.769,0.812,1,0.897,24,16.912,0.705,0.438
"HSLMDS [k=36] [kQuality=36] (NLDR)","HSLMDS [k=36] [kQuality=36] (NLDR)","HSLMDS (NLDR)",36,NA,0.77,0.54,1,NA,0.742,0.885,1,0.769,0.812,1,0.897,13,7.56,0.582,0.437
"HSLMDS [k=36] [kQuality=37] (NLDR)","HSLMDS [k=36] [kQuality=37] (NLDR)","HSLMDS (NLDR)",36,NA,0.77,0.54,1,NA,0.789,0.885,1,0.769,0.812,1,0.897,24,16.912,0.705,0.438
"HSLMDS [k=36] [kQuality=38] (NLDR)","HSLMDS [k=36] [kQuality=38] (NLDR)","HSLMDS (NLDR)",36,NA,0.77,0.54,1,NA,0.731,0.885,1,0.769,0.812,1,0.897,13,7.582,0.583,0.439
"HSLMDS [k=36] [kQuality=39] (NLDR)","HSLMDS [k=36] [kQuality=39] (NLDR)","HSLMDS (NLDR)",36,NA,0.77,0.54,1,NA,0.706,0.885,1,0.769,0.812,1,0.897,13,7.582,0.583,0.439
"HSLMDS [k=39] (rNLDR)","HSLMDS [k=39] (rNLDR)","HSLMDS (rNLDR)",39,NA,0.79,0.57,1,NA,96.712,0.885,1,0.769,0.812,1,0.897,15,9.308,0.621,0.454
"HSLMDS [k=39] [kQuality=36] (NLDR)","HSLMDS [k=39] [kQuality=36] (NLDR)","HSLMDS (NLDR)",39,NA,0.78,0.54,1,NA,0.677,0.885,1,0.769,0.812,1,0.897,22,14.923,0.678,0.434
"HSLMDS [k=39] [kQuality=37] (NLDR)","HSLMDS [k=39] [kQuality=37] (NLDR)","HSLMDS (NLDR)",39,NA,0.78,0.54,1,NA,0.673,0.885,1,0.769,0.812,1,0.897,22,14.923,0.678,0.434
"HSLMDS [k=39] [kQuality=38] (NLDR)","HSLMDS [k=39] [kQuality=38] (NLDR)","HSLMDS (NLDR)",39,NA,0.78,0.55,1,NA,0.981,0.885,1,0.769,0.812,1,0.897,22,14.923,0.678,0.434
"HSLMDS [k=39] [kQuality=39] (NLDR)","HSLMDS [k=39] [kQuality=39] (NLDR)","HSLMDS (NLDR)",39,NA,0.78,0.55,1,NA,0.693,0.885,1,0.769,0.812,1,0.897,22,14.945,0.679,0.435
"HSLMDS [k=39] [kQuality=40] (NLDR)","HSLMDS [k=39] [kQuality=40] (NLDR)","HSLMDS (NLDR)",39,NA,0.78,0.55,1,NA,0.691,0.885,1,0.769,0.812,1,0.897,22,14.945,0.679,0.435
"HSLMDS [k=39] [kQuality=41] (NLDR)","HSLMDS [k=39] [kQuality=41] (NLDR)","HSLMDS (NLDR)",39,NA,0.78,0.55,1,NA,0.694,0.885,1,0.769,0.812,1,0.897,22,14.945,0.679,0.435
"HSLMDS [k=39] [kQuality=42] (NLDR)","HSLMDS [k=39] [kQuality=42] (NLDR)","HSLMDS (NLDR)",39,NA,0.77,0.54,1,NA,0.687,0.885,1,0.769,0.812,1,0.897,15,8.978,0.599,0.432
"HSLMDS [k=42] (rNLDR)","HSLMDS [k=42] (rNLDR)","HSLMDS (rNLDR)",42,NA,0.79,0.57,1,NA,52.517,0.923,1,0.846,0.867,1,0.929,15,9.231,0.615,0.449
"HSLMDS [k=42] [kQuality=39] (NLDR)","HSLMDS [k=42] [kQuality=39] (NLDR)","HSLMDS (NLDR)",42,NA,0.76,0.51,1,NA,2.24,0.885,1,0.769,0.812,1,0.897,13,7.286,0.56,0.416
"HSLMDS [k=42] [kQuality=40] (NLDR)","HSLMDS [k=42] [kQuality=40] (NLDR)","HSLMDS (NLDR)",42,NA,0.76,0.51,1,NA,2.246,0.885,1,0.769,0.812,1,0.897,13,7.286,0.56,0.416
"HSLMDS [k=42] [kQuality=41] (NLDR)","HSLMDS [k=42] [kQuality=41] (NLDR)","HSLMDS (NLDR)",42,NA,0.76,0.51,1,NA,2.239,0.885,1,0.769,0.812,1,0.897,13,7.286,0.56,0.416
"HSLMDS [k=42] [kQuality=42] (NLDR)","HSLMDS [k=42] [kQuality=42] (NLDR)","HSLMDS (NLDR)",42,NA,0.76,0.51,1,NA,2.247,0.885,1,0.769,0.812,1,0.897,13,7.286,0.56,0.416
"HSLMDS [k=42] [kQuality=43] (NLDR)","HSLMDS [k=42] [kQuality=43] (NLDR)","HSLMDS (NLDR)",42,NA,0.76,0.51,1,NA,2.229,0.885,1,0.769,0.812,1,0.897,13,7.286,0.56,0.416
"HSLMDS [k=42] [kQuality=44] (NLDR)","HSLMDS [k=42] [kQuality=44] (NLDR)","HSLMDS (NLDR)",42,NA,0.76,0.51,1,NA,2.212,0.885,1,0.769,0.812,1,0.897,13,7.286,0.56,0.416
"HSLMDS [k=42] [kQuality=45] (NLDR)","HSLMDS [k=42] [kQuality=45] (NLDR)","HSLMDS (NLDR)",42,NA,0.76,0.51,1,NA,2.207,0.885,1,0.769,0.812,1,0.897,13,7.286,0.56,0.416
"HSLMDS [k=45] (rNLDR)","HSLMDS [k=45] (rNLDR)","HSLMDS (rNLDR)",45,NA,0.78,0.55,1,NA,53.655,0.923,1,0.846,0.867,1,0.929,13,7.385,0.568,0.424
"HSLMDS [k=45] [kQuality=42] (NLDR)","HSLMDS [k=45] [kQuality=42] (NLDR)","HSLMDS (NLDR)",45,NA,0.74,0.47,1,NA,0.924,0.885,1,0.769,0.812,1,0.897,13,6.714,0.516,0.372
"HSLMDS [k=45] [kQuality=43] (NLDR)","HSLMDS [k=45] [kQuality=43] (NLDR)","HSLMDS (NLDR)",45,NA,0.74,0.47,1,NA,0.713,0.885,1,0.769,0.812,1,0.897,13,6.714,0.516,0.372
"HSLMDS [k=45] [kQuality=44] (NLDR)","HSLMDS [k=45] [kQuality=44] (NLDR)","HSLMDS (NLDR)",45,NA,0.74,0.47,1,NA,2.939,0.885,1,0.769,0.812,1,0.897,13,6.714,0.516,0.372
"HSLMDS [k=45] [kQuality=45] (NLDR)","HSLMDS [k=45] [kQuality=45] (NLDR)","HSLMDS (NLDR)",45,NA,0.74,0.47,1,NA,0.634,0.885,1,0.769,0.812,1,0.897,22,13.549,0.616,0.371
"HSLMDS [k=45] [kQuality=46] (NLDR)","HSLMDS [k=45] [kQuality=46] (NLDR)","HSLMDS (NLDR)",45,NA,0.74,0.47,1,NA,0.646,0.885,1,0.769,0.812,1,0.897,22,13.549,0.616,0.371
"HSLMDS [k=45] [kQuality=47] (NLDR)","HSLMDS [k=45] [kQuality=47] (NLDR)","HSLMDS (NLDR)",45,NA,0.74,0.47,1,NA,0.645,0.885,1,0.769,0.812,1,0.897,22,13.549,0.616,0.371
"HSLMDS [k=45] [kQuality=48] (NLDR)","HSLMDS [k=45] [kQuality=48] (NLDR)","HSLMDS (NLDR)",45,NA,0.74,0.47,1,NA,0.641,0.885,1,0.769,0.812,1,0.897,22,13.549,0.616,0.371
"HSLMDS [k=48] (rNLDR)","HSLMDS [k=48] (rNLDR)","HSLMDS (rNLDR)",48,NA,0.79,0.57,1,NA,52.91,0.885,0.923,0.846,0.857,0.923,0.889,13,7.495,0.577,0.432
"HSLMDS [k=48] [kQuality=45] (NLDR)","HSLMDS [k=48] [kQuality=45] (NLDR)","HSLMDS (NLDR)",48,NA,0.76,0.52,1,NA,0.827,0.885,0.923,0.846,0.857,0.923,0.889,20,12.418,0.621,0.399
"HSLMDS [k=48] [kQuality=46] (NLDR)","HSLMDS [k=48] [kQuality=46] (NLDR)","HSLMDS (NLDR)",48,NA,0.76,0.52,1,NA,0.64,0.885,0.923,0.846,0.857,0.923,0.889,20,12.44,0.622,0.4
"HSLMDS [k=48] [kQuality=47] (NLDR)","HSLMDS [k=48] [kQuality=47] (NLDR)","HSLMDS (NLDR)",48,NA,0.76,0.52,1,NA,0.609,0.885,0.923,0.846,0.857,0.923,0.889,20,12.429,0.621,0.399
"HSLMDS [k=48] [kQuality=48] (NLDR)","HSLMDS [k=48] [kQuality=48] (NLDR)","HSLMDS (NLDR)",48,NA,0.76,0.52,1,NA,0.599,0.885,0.923,0.846,0.857,0.923,0.889,20,12.429,0.621,0.399
"HSLMDS [k=48] [kQuality=49] (NLDR)","HSLMDS [k=48] [kQuality=49] (NLDR)","HSLMDS (NLDR)",48,NA,0.76,0.52,1,NA,0.819,0.885,0.923,0.846,0.857,0.923,0.889,20,12.418,0.621,0.399
"HSLMDS [k=48] [kQuality=50] (NLDR)","HSLMDS [k=48] [kQuality=50] (NLDR)","HSLMDS (NLDR)",48,NA,0.76,0.52,1,NA,0.601,0.885,0.923,0.846,0.857,0.923,0.889,20,12.44,0.622,0.4
"HSLMDS [k=48] [kQuality=51] (NLDR)","HSLMDS [k=48] [kQuality=51] (NLDR)","HSLMDS (NLDR)",48,NA,0.76,0.52,1,NA,0.618,0.885,0.923,0.846,0.857,0.923,0.889,20,12.44,0.622,0.4
"HSLMDS [k=51] (rNLDR)","HSLMDS [k=51] (rNLDR)","HSLMDS (rNLDR)",51,NA,0.79,0.57,1,NA,51.441,0.962,1,0.923,0.929,1,0.963,26,18.824,0.724,0.435
