"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"HSLMDS [k=109] [kQuality=107] (NLDR)","HSLMDS [k=109] [kQuality=107] (NLDR)","HSLMDS (NLDR)",109,NA,0.72,0.45,1,NA,5.219,0.722,NA,NA,NA,NA,NA,39,21.005,0.539,0.327
"HSLMDS [k=109] [kQuality=108] (NLDR)","HSLMDS [k=109] [kQuality=108] (NLDR)","HSLMDS (NLDR)",109,NA,0.72,0.44,1,NA,26.896,0.722,NA,NA,NA,NA,NA,39,21.005,0.539,0.327
"HSLMDS [k=109] [kQuality=109] (NLDR)","HSLMDS [k=109] [kQuality=109] (NLDR)","HSLMDS (NLDR)",109,NA,0.72,0.45,1,NA,5.288,0.722,NA,NA,NA,NA,NA,39,21.005,0.539,0.327
"HSLMDS [k=109] [kQuality=110] (NLDR)","HSLMDS [k=109] [kQuality=110] (NLDR)","HSLMDS (NLDR)",109,NA,0.73,0.45,1,NA,34.396,0.722,NA,NA,NA,NA,NA,39,21.238,0.545,0.333
"HSLMDS [k=109] [kQuality=111] (NLDR)","HSLMDS [k=109] [kQuality=111] (NLDR)","HSLMDS (NLDR)",109,NA,0.73,0.45,1,NA,34.291,0.722,NA,NA,NA,NA,NA,39,21.238,0.545,0.333
"HSLMDS [k=109] [kQuality=112] (NLDR)","HSLMDS [k=109] [kQuality=112] (NLDR)","HSLMDS (NLDR)",109,NA,0.73,0.45,1,NA,34.12,0.722,NA,NA,NA,NA,NA,39,21.238,0.545,0.333
"HSLMDS [k=115] (rNLDR)","HSLMDS [k=115] (rNLDR)","HSLMDS (rNLDR)",115,NA,0.82,0.65,1,NA,349.459,0.722,NA,NA,NA,NA,NA,40,28.919,0.723,0.506
"HSLMDS [k=115] [kQuality=112] (NLDR)","HSLMDS [k=115] [kQuality=112] (NLDR)","HSLMDS (NLDR)",115,NA,0.79,0.58,1,NA,4.277,0.722,NA,NA,NA,NA,NA,37,24.049,0.65,0.449
"HSLMDS [k=115] [kQuality=113] (NLDR)","HSLMDS [k=115] [kQuality=113] (NLDR)","HSLMDS (NLDR)",115,NA,0.79,0.58,1,NA,4.343,0.722,NA,NA,NA,NA,NA,37,24.049,0.65,0.449
"HSLMDS [k=115] [kQuality=114] (NLDR)","HSLMDS [k=115] [kQuality=114] (NLDR)","HSLMDS (NLDR)",115,NA,0.79,0.57,1,NA,5.245,0.722,NA,NA,NA,NA,NA,34,21.443,0.631,0.446
"HSLMDS [k=115] [kQuality=115] (NLDR)","HSLMDS [k=115] [kQuality=115] (NLDR)","HSLMDS (NLDR)",115,NA,0.79,0.58,1,NA,5.121,0.722,NA,NA,NA,NA,NA,34,21.541,0.634,0.449
"HSLMDS [k=115] [kQuality=116] (NLDR)","HSLMDS [k=115] [kQuality=116] (NLDR)","HSLMDS (NLDR)",115,NA,0.79,0.58,1,NA,5.041,0.722,NA,NA,NA,NA,NA,34,21.541,0.634,0.449
"HSLMDS [k=115] [kQuality=117] (NLDR)","HSLMDS [k=115] [kQuality=117] (NLDR)","HSLMDS (NLDR)",115,NA,0.79,0.58,1,NA,4.361,0.722,NA,NA,NA,NA,NA,37,24.049,0.65,0.449
"HSLMDS [k=115] [kQuality=118] (NLDR)","HSLMDS [k=115] [kQuality=118] (NLDR)","HSLMDS (NLDR)",115,NA,0.79,0.58,1,NA,4.311,0.722,NA,NA,NA,NA,NA,37,24.049,0.65,0.449
"HSLMDS [k=122] (rNLDR)","HSLMDS [k=122] (rNLDR)","HSLMDS (rNLDR)",122,NA,0.81,0.62,1,NA,891.418,0.722,NA,NA,NA,NA,NA,39,26.822,0.688,0.476
"HSLMDS [k=122] [kQuality=119] (NLDR)","HSLMDS [k=122] [kQuality=119] (NLDR)","HSLMDS (NLDR)",122,NA,0.79,0.57,1,NA,2.719,0.722,NA,NA,NA,NA,NA,42,27.832,0.663,0.434
"HSLMDS [k=122] [kQuality=120] (NLDR)","HSLMDS [k=122] [kQuality=120] (NLDR)","HSLMDS (NLDR)",122,NA,0.79,0.57,1,NA,2.843,0.722,NA,NA,NA,NA,NA,42,27.832,0.663,0.434
"HSLMDS [k=122] [kQuality=121] (NLDR)","HSLMDS [k=122] [kQuality=121] (NLDR)","HSLMDS (NLDR)",122,NA,0.79,0.57,1,NA,4.494,0.722,NA,NA,NA,NA,NA,42,27.832,0.663,0.434
"HSLMDS [k=122] [kQuality=122] (NLDR)","HSLMDS [k=122] [kQuality=122] (NLDR)","HSLMDS (NLDR)",122,NA,0.79,0.57,1,NA,30.352,0.722,NA,NA,NA,NA,NA,42,27.827,0.663,0.434
"HSLMDS [k=122] [kQuality=123] (NLDR)","HSLMDS [k=122] [kQuality=123] (NLDR)","HSLMDS (NLDR)",122,NA,0.79,0.57,1,NA,4.223,0.722,NA,NA,NA,NA,NA,42,27.832,0.663,0.434
"HSLMDS [k=122] [kQuality=124] (NLDR)","HSLMDS [k=122] [kQuality=124] (NLDR)","HSLMDS (NLDR)",122,NA,0.79,0.57,1,NA,4.23,0.722,NA,NA,NA,NA,NA,42,27.832,0.663,0.434
"HSLMDS [k=122] [kQuality=125] (NLDR)","HSLMDS [k=122] [kQuality=125] (NLDR)","HSLMDS (NLDR)",122,NA,0.79,0.57,1,NA,4.523,0.722,NA,NA,NA,NA,NA,42,27.832,0.663,0.434
"HSLMDS [k=128] (rNLDR)","HSLMDS [k=128] (rNLDR)","HSLMDS (rNLDR)",128,NA,0.82,0.63,1,NA,371.069,0.722,NA,NA,NA,NA,NA,42,29.854,0.711,0.483
"HSLMDS [k=128] [kQuality=125] (NLDR)","HSLMDS [k=128] [kQuality=125] (NLDR)","HSLMDS (NLDR)",128,NA,0.77,0.54,1,NA,4.4,0.704,NA,NA,NA,NA,NA,38,22.557,0.594,0.387
"HSLMDS [k=128] [kQuality=126] (NLDR)","HSLMDS [k=128] [kQuality=126] (NLDR)","HSLMDS (NLDR)",128,NA,0.77,0.53,1,NA,29.866,0.704,NA,NA,NA,NA,NA,39,23.341,0.598,0.387
"HSLMDS [k=128] [kQuality=127] (NLDR)","HSLMDS [k=128] [kQuality=127] (NLDR)","HSLMDS (NLDR)",128,NA,0.77,0.53,1,NA,3.945,0.685,NA,NA,NA,NA,NA,39,23.276,0.597,0.385
"HSLMDS [k=128] [kQuality=128] (NLDR)","HSLMDS [k=128] [kQuality=128] (NLDR)","HSLMDS (NLDR)",128,NA,0.77,0.54,1,NA,4.244,0.704,NA,NA,NA,NA,NA,38,22.557,0.594,0.387
"HSLMDS [k=128] [kQuality=129] (NLDR)","HSLMDS [k=128] [kQuality=129] (NLDR)","HSLMDS (NLDR)",128,NA,0.76,0.53,1,NA,4.521,0.704,NA,NA,NA,NA,NA,29,15.524,0.535,0.378
"HSLMDS [k=128] [kQuality=130] (NLDR)","HSLMDS [k=128] [kQuality=130] (NLDR)","HSLMDS (NLDR)",128,NA,0.77,0.53,1,NA,29.671,0.704,NA,NA,NA,NA,NA,39,23.341,0.598,0.387
"HSLMDS [k=128] [kQuality=131] (NLDR)","HSLMDS [k=128] [kQuality=131] (NLDR)","HSLMDS (NLDR)",128,NA,0.77,0.53,1,NA,29.693,0.704,NA,NA,NA,NA,NA,39,23.341,0.598,0.387
"HSLMDS [k=134] (rNLDR)","HSLMDS [k=134] (rNLDR)","HSLMDS (rNLDR)",134,NA,0.82,0.64,1,NA,367.988,0.722,NA,NA,NA,NA,NA,40,28.573,0.714,0.497
"HSLMDS [k=134] [kQuality=131] (NLDR)","HSLMDS [k=134] [kQuality=131] (NLDR)","HSLMDS (NLDR)",134,NA,0.78,0.55,1,NA,3.556,0.741,NA,NA,NA,NA,NA,50,33.757,0.675,0.403
"HSLMDS [k=134] [kQuality=132] (NLDR)","HSLMDS [k=134] [kQuality=132] (NLDR)","HSLMDS (NLDR)",134,NA,0.78,0.55,1,NA,6.178,0.722,NA,NA,NA,NA,NA,50,33.751,0.675,0.403
"HSLMDS [k=134] [kQuality=133] (NLDR)","HSLMDS [k=134] [kQuality=133] (NLDR)","HSLMDS (NLDR)",134,NA,0.78,0.55,1,NA,3.032,0.704,NA,NA,NA,NA,NA,52,35.643,0.685,0.403
"HSLMDS [k=134] [kQuality=134] (NLDR)","HSLMDS [k=134] [kQuality=134] (NLDR)","HSLMDS (NLDR)",134,NA,0.78,0.55,1,NA,2.994,0.704,NA,NA,NA,NA,NA,52,35.643,0.685,0.403
"HSLMDS [k=134] [kQuality=135] (NLDR)","HSLMDS [k=134] [kQuality=135] (NLDR)","HSLMDS (NLDR)",134,NA,0.78,0.55,1,NA,3.009,0.704,NA,NA,NA,NA,NA,52,35.643,0.685,0.403
"HSLMDS [k=134] [kQuality=136] (NLDR)","HSLMDS [k=134] [kQuality=136] (NLDR)","HSLMDS (NLDR)",134,NA,0.78,0.55,1,NA,6.111,0.722,NA,NA,NA,NA,NA,50,33.751,0.675,0.403
"HSLMDS [k=134] [kQuality=137] (NLDR)","HSLMDS [k=134] [kQuality=137] (NLDR)","HSLMDS (NLDR)",134,NA,0.78,0.55,1,NA,2.998,0.685,NA,NA,NA,NA,NA,50,33.762,0.675,0.404
"HSLMDS [k=140] (rNLDR)","HSLMDS [k=140] (rNLDR)","HSLMDS (rNLDR)",140,NA,0.81,0.62,1,NA,679.703,0.722,NA,NA,NA,NA,NA,45,32.708,0.727,0.482
"HSLMDS [k=140] [kQuality=137] (NLDR)","HSLMDS [k=140] [kQuality=137] (NLDR)","HSLMDS (NLDR)",140,NA,0.78,0.57,1,NA,3.707,0.704,NA,NA,NA,NA,NA,49,34,0.694,0.428
"HSLMDS [k=140] [kQuality=138] (NLDR)","HSLMDS [k=140] [kQuality=138] (NLDR)","HSLMDS (NLDR)",140,NA,0.78,0.57,1,NA,4.001,0.704,NA,NA,NA,NA,NA,49,34,0.694,0.428
"HSLMDS [k=140] [kQuality=139] (NLDR)","HSLMDS [k=140] [kQuality=139] (NLDR)","HSLMDS (NLDR)",140,NA,0.78,0.57,1,NA,2.928,0.704,NA,NA,NA,NA,NA,49,33.984,0.694,0.427
"HSLMDS [k=140] [kQuality=140] (NLDR)","HSLMDS [k=140] [kQuality=140] (NLDR)","HSLMDS (NLDR)",140,NA,0.78,0.57,1,NA,2.821,0.704,NA,NA,NA,NA,NA,49,33.984,0.694,0.427
"HSLMDS [k=140] [kQuality=141] (NLDR)","HSLMDS [k=140] [kQuality=141] (NLDR)","HSLMDS (NLDR)",140,NA,0.78,0.57,1,NA,3.772,0.704,NA,NA,NA,NA,NA,49,34,0.694,0.428
"HSLMDS [k=140] [kQuality=142] (NLDR)","HSLMDS [k=140] [kQuality=142] (NLDR)","HSLMDS (NLDR)",140,NA,0.78,0.57,1,NA,3.764,0.704,NA,NA,NA,NA,NA,49,34,0.694,0.428
"HSLMDS [k=140] [kQuality=143] (NLDR)","HSLMDS [k=140] [kQuality=143] (NLDR)","HSLMDS (NLDR)",140,NA,0.78,0.57,1,NA,3.313,0.704,NA,NA,NA,NA,NA,50,34.914,0.698,0.427
"HSLMDS [k=147] (rNLDR)","HSLMDS [k=147] (rNLDR)","HSLMDS (rNLDR)",147,NA,0.8,0.59,1,NA,355.155,0.722,NA,NA,NA,NA,NA,47,33.378,0.71,0.455
"HSLMDS [k=147] [kQuality=144] (NLDR)","HSLMDS [k=147] [kQuality=144] (NLDR)","HSLMDS (NLDR)",147,NA,0.8,0.6,1,NA,2.894,0.685,NA,NA,NA,NA,NA,50,36.719,0.734,0.463
"HSLMDS [k=147] [kQuality=145] (NLDR)","HSLMDS [k=147] [kQuality=145] (NLDR)","HSLMDS (NLDR)",147,NA,0.8,0.6,1,NA,3.155,0.704,NA,NA,NA,NA,NA,50,36.708,0.734,0.462
"HSLMDS [k=147] [kQuality=146] (NLDR)","HSLMDS [k=147] [kQuality=146] (NLDR)","HSLMDS (NLDR)",147,NA,0.8,0.6,1,NA,2.787,0.685,NA,NA,NA,NA,NA,50,36.719,0.734,0.463
"HSLMDS [k=147] [kQuality=147] (NLDR)","HSLMDS [k=147] [kQuality=147] (NLDR)","HSLMDS (NLDR)",147,NA,0.8,0.6,1,NA,4.299,0.685,NA,NA,NA,NA,NA,50,36.724,0.734,0.463
"HSLMDS [k=147] [kQuality=148] (NLDR)","HSLMDS [k=147] [kQuality=148] (NLDR)","HSLMDS (NLDR)",147,NA,0.8,0.6,1,NA,3.234,0.704,NA,NA,NA,NA,NA,50,36.708,0.734,0.462
"HSLMDS [k=147] [kQuality=149] (NLDR)","HSLMDS [k=147] [kQuality=149] (NLDR)","HSLMDS (NLDR)",147,NA,0.8,0.6,1,NA,2.985,0.685,NA,NA,NA,NA,NA,50,36.719,0.734,0.463
"HSLMDS [k=147] [kQuality=150] (NLDR)","HSLMDS [k=147] [kQuality=150] (NLDR)","HSLMDS (NLDR)",147,NA,0.8,0.6,1,NA,3.176,0.704,NA,NA,NA,NA,NA,50,36.708,0.734,0.462
"HSLMDS [k=15] (rNLDR)","HSLMDS [k=15] (rNLDR)","HSLMDS (rNLDR)",15,NA,0.78,0.55,1,NA,470.631,0.722,NA,NA,NA,NA,NA,39,25.616,0.657,0.445
"HSLMDS [k=15] [kQuality=12] (NLDR)","HSLMDS [k=15] [kQuality=12] (NLDR)","HSLMDS (NLDR)",15,NA,0.76,0.52,1,NA,2.699,0.722,NA,NA,NA,NA,NA,30,17.573,0.586,0.423
"HSLMDS [k=15] [kQuality=13] (NLDR)","HSLMDS [k=15] [kQuality=13] (NLDR)","HSLMDS (NLDR)",15,NA,0.76,0.52,1,NA,2.655,0.722,NA,NA,NA,NA,NA,30,17.573,0.586,0.423
"HSLMDS [k=15] [kQuality=14] (NLDR)","HSLMDS [k=15] [kQuality=14] (NLDR)","HSLMDS (NLDR)",15,NA,0.76,0.52,1,NA,2.661,0.722,NA,NA,NA,NA,NA,30,17.573,0.586,0.423
"HSLMDS [k=15] [kQuality=15] (NLDR)","HSLMDS [k=15] [kQuality=15] (NLDR)","HSLMDS (NLDR)",15,NA,0.76,0.52,1,NA,2.685,0.722,NA,NA,NA,NA,NA,30,17.573,0.586,0.423
"HSLMDS [k=15] [kQuality=16] (NLDR)","HSLMDS [k=15] [kQuality=16] (NLDR)","HSLMDS (NLDR)",15,NA,0.76,0.52,1,NA,3.388,0.704,NA,NA,NA,NA,NA,30,17.595,0.586,0.423
"HSLMDS [k=15] [kQuality=17] (NLDR)","HSLMDS [k=15] [kQuality=17] (NLDR)","HSLMDS (NLDR)",15,NA,0.76,0.52,1,NA,2.371,0.704,NA,NA,NA,NA,NA,30,17.611,0.587,0.424
"HSLMDS [k=15] [kQuality=18] (NLDR)","HSLMDS [k=15] [kQuality=18] (NLDR)","HSLMDS (NLDR)",15,NA,0.76,0.52,1,NA,4.642,0.704,NA,NA,NA,NA,NA,30,17.611,0.587,0.424
"HSLMDS [k=153] (rNLDR)","HSLMDS [k=153] (rNLDR)","HSLMDS (rNLDR)",153,NA,0.81,0.62,1,NA,387.901,0.722,NA,NA,NA,NA,NA,46,33.892,0.737,0.487
"HSLMDS [k=153] [kQuality=150] (NLDR)","HSLMDS [k=153] [kQuality=150] (NLDR)","HSLMDS (NLDR)",153,NA,0.78,0.57,1,NA,9.148,0.722,NA,NA,NA,NA,NA,50,35.924,0.718,0.447
"HSLMDS [k=153] [kQuality=151] (NLDR)","HSLMDS [k=153] [kQuality=151] (NLDR)","HSLMDS (NLDR)",153,NA,0.78,0.57,1,NA,9.291,0.722,NA,NA,NA,NA,NA,50,35.924,0.718,0.447
"HSLMDS [k=153] [kQuality=152] (NLDR)","HSLMDS [k=153] [kQuality=152] (NLDR)","HSLMDS (NLDR)",153,NA,0.78,0.57,1,NA,9.128,0.722,NA,NA,NA,NA,NA,50,35.924,0.718,0.447
"HSLMDS [k=153] [kQuality=153] (NLDR)","HSLMDS [k=153] [kQuality=153] (NLDR)","HSLMDS (NLDR)",153,NA,0.78,0.57,1,NA,10.703,0.722,NA,NA,NA,NA,NA,50,35.935,0.719,0.447
"HSLMDS [k=153] [kQuality=154] (NLDR)","HSLMDS [k=153] [kQuality=154] (NLDR)","HSLMDS (NLDR)",153,NA,0.78,0.57,1,NA,15.271,0.722,NA,NA,NA,NA,NA,50,35.919,0.718,0.447
"HSLMDS [k=153] [kQuality=155] (NLDR)","HSLMDS [k=153] [kQuality=155] (NLDR)","HSLMDS (NLDR)",153,NA,0.78,0.57,1,NA,15.208,0.722,NA,NA,NA,NA,NA,50,35.919,0.718,0.447
"HSLMDS [k=153] [kQuality=156] (NLDR)","HSLMDS [k=153] [kQuality=156] (NLDR)","HSLMDS (NLDR)",153,NA,0.78,0.57,1,NA,10.685,0.722,NA,NA,NA,NA,NA,50,35.935,0.719,0.447
"HSLMDS [k=159] (rNLDR)","HSLMDS [k=159] (rNLDR)","HSLMDS (rNLDR)",159,NA,0.83,0.65,1,NA,612.661,0.722,NA,NA,NA,NA,NA,40,29.254,0.731,0.514
"HSLMDS [k=159] [kQuality=156] (NLDR)","HSLMDS [k=159] [kQuality=156] (NLDR)","HSLMDS (NLDR)",159,NA,0.76,0.52,1,NA,16.4,0.611,NA,NA,NA,NA,NA,51,34.973,0.686,0.409
"HSLMDS [k=159] [kQuality=157] (NLDR)","HSLMDS [k=159] [kQuality=157] (NLDR)","HSLMDS (NLDR)",159,NA,0.76,0.52,1,NA,16.455,0.611,NA,NA,NA,NA,NA,51,34.973,0.686,0.409
"HSLMDS [k=159] [kQuality=158] (NLDR)","HSLMDS [k=159] [kQuality=158] (NLDR)","HSLMDS (NLDR)",159,NA,0.78,0.56,1,NA,4.81,0.685,NA,NA,NA,NA,NA,50,36.168,0.723,0.452
"HSLMDS [k=159] [kQuality=159] (NLDR)","HSLMDS [k=159] [kQuality=159] (NLDR)","HSLMDS (NLDR)",159,NA,0.78,0.56,1,NA,8.392,0.685,NA,NA,NA,NA,NA,50,36.205,0.724,0.452
"HSLMDS [k=159] [kQuality=160] (NLDR)","HSLMDS [k=159] [kQuality=160] (NLDR)","HSLMDS (NLDR)",159,NA,0.78,0.56,1,NA,8.382,0.685,NA,NA,NA,NA,NA,50,36.205,0.724,0.452
"HSLMDS [k=159] [kQuality=161] (NLDR)","HSLMDS [k=159] [kQuality=161] (NLDR)","HSLMDS (NLDR)",159,NA,0.78,0.56,1,NA,8.445,0.685,NA,NA,NA,NA,NA,50,36.205,0.724,0.452
"HSLMDS [k=159] [kQuality=162] (NLDR)","HSLMDS [k=159] [kQuality=162] (NLDR)","HSLMDS (NLDR)",159,NA,0.78,0.56,1,NA,14.081,0.685,NA,NA,NA,NA,NA,50,36.178,0.724,0.452
"HSLMDS [k=165] (rNLDR)","HSLMDS [k=165] (rNLDR)","HSLMDS (rNLDR)",165,NA,0.82,0.64,1,NA,2044.164,0.722,NA,NA,NA,NA,NA,45,33.843,0.752,0.508
"HSLMDS [k=165] [kQuality=162] (NLDR)","HSLMDS [k=165] [kQuality=162] (NLDR)","HSLMDS (NLDR)",165,NA,0.8,0.59,1,NA,2.65,0.722,NA,NA,NA,NA,NA,46,33.092,0.719,0.469
"HSLMDS [k=165] [kQuality=163] (NLDR)","HSLMDS [k=165] [kQuality=163] (NLDR)","HSLMDS (NLDR)",165,NA,0.8,0.59,1,NA,2.808,0.759,NA,NA,NA,NA,NA,46,33.124,0.72,0.47
"HSLMDS [k=165] [kQuality=164] (NLDR)","HSLMDS [k=165] [kQuality=164] (NLDR)","HSLMDS (NLDR)",165,NA,0.8,0.59,1,NA,2.69,0.722,NA,NA,NA,NA,NA,46,33.092,0.719,0.469
"HSLMDS [k=165] [kQuality=165] (NLDR)","HSLMDS [k=165] [kQuality=165] (NLDR)","HSLMDS (NLDR)",165,NA,0.8,0.59,1,NA,6.248,0.722,NA,NA,NA,NA,NA,46,33.032,0.718,0.468
"HSLMDS [k=165] [kQuality=166] (NLDR)","HSLMDS [k=165] [kQuality=166] (NLDR)","HSLMDS (NLDR)",165,NA,0.8,0.59,1,NA,3.692,0.722,NA,NA,NA,NA,NA,46,33.032,0.718,0.468
"HSLMDS [k=165] [kQuality=167] (NLDR)","HSLMDS [k=165] [kQuality=167] (NLDR)","HSLMDS (NLDR)",165,NA,0.8,0.59,1,NA,2.68,0.722,NA,NA,NA,NA,NA,46,33.092,0.719,0.469
"HSLMDS [k=165] [kQuality=168] (NLDR)","HSLMDS [k=165] [kQuality=168] (NLDR)","HSLMDS (NLDR)",165,NA,0.8,0.59,1,NA,2.801,0.722,NA,NA,NA,NA,NA,46,33.032,0.718,0.468
"HSLMDS [k=172] (rNLDR)","HSLMDS [k=172] (rNLDR)","HSLMDS (rNLDR)",172,NA,0.83,0.66,1,NA,441.67,0.722,NA,NA,NA,NA,NA,42,31.308,0.745,0.517
"HSLMDS [k=172] [kQuality=169] (NLDR)","HSLMDS [k=172] [kQuality=169] (NLDR)","HSLMDS (NLDR)",172,NA,0.81,0.63,1,NA,5.857,0.704,NA,NA,NA,NA,NA,46,34.443,0.749,0.499
"HSLMDS [k=172] [kQuality=170] (NLDR)","HSLMDS [k=172] [kQuality=170] (NLDR)","HSLMDS (NLDR)",172,NA,0.82,0.63,1,NA,5.653,0.685,NA,NA,NA,NA,NA,46,34.459,0.749,0.499
"HSLMDS [k=172] [kQuality=171] (NLDR)","HSLMDS [k=172] [kQuality=171] (NLDR)","HSLMDS (NLDR)",172,NA,0.81,0.63,1,NA,5.914,0.704,NA,NA,NA,NA,NA,46,34.443,0.749,0.499
"HSLMDS [k=172] [kQuality=172] (NLDR)","HSLMDS [k=172] [kQuality=172] (NLDR)","HSLMDS (NLDR)",172,NA,0.82,0.64,1,NA,6.247,0.704,NA,NA,NA,NA,NA,40,28.865,0.722,0.504
"HSLMDS [k=172] [kQuality=173] (NLDR)","HSLMDS [k=172] [kQuality=173] (NLDR)","HSLMDS (NLDR)",172,NA,0.75,0.49,1,NA,7.266,0.685,NA,NA,NA,NA,NA,69,51.692,0.749,0.374
"HSLMDS [k=172] [kQuality=174] (NLDR)","HSLMDS [k=172] [kQuality=174] (NLDR)","HSLMDS (NLDR)",172,NA,0.75,0.49,1,NA,7.306,0.685,NA,NA,NA,NA,NA,69,51.692,0.749,0.374
"HSLMDS [k=172] [kQuality=175] (NLDR)","HSLMDS [k=172] [kQuality=175] (NLDR)","HSLMDS (NLDR)",172,NA,0.75,0.49,1,NA,7.225,0.685,NA,NA,NA,NA,NA,69,51.692,0.749,0.374
"HSLMDS [k=178] (rNLDR)","HSLMDS [k=178] (rNLDR)","HSLMDS (rNLDR)",178,NA,0.83,0.66,1,NA,431.002,0.741,NA,NA,NA,NA,NA,40,29.681,0.742,0.525
"HSLMDS [k=178] [kQuality=175] (NLDR)","HSLMDS [k=178] [kQuality=175] (NLDR)","HSLMDS (NLDR)",178,NA,0.82,0.63,1,NA,2.747,0.722,NA,NA,NA,NA,NA,43,31.508,0.733,0.499
"HSLMDS [k=178] [kQuality=176] (NLDR)","HSLMDS [k=178] [kQuality=176] (NLDR)","HSLMDS (NLDR)",178,NA,0.82,0.63,1,NA,3.212,0.704,NA,NA,NA,NA,NA,46,34.486,0.75,0.5
"HSLMDS [k=178] [kQuality=177] (NLDR)","HSLMDS [k=178] [kQuality=177] (NLDR)","HSLMDS (NLDR)",178,NA,0.83,0.66,1,NA,4.22,0.704,NA,NA,NA,NA,NA,40,29.362,0.734,0.517
"HSLMDS [k=178] [kQuality=178] (NLDR)","HSLMDS [k=178] [kQuality=178] (NLDR)","HSLMDS (NLDR)",178,NA,0.83,0.66,1,NA,4.15,0.704,NA,NA,NA,NA,NA,40,29.362,0.734,0.517
"HSLMDS [k=178] [kQuality=179] (NLDR)","HSLMDS [k=178] [kQuality=179] (NLDR)","HSLMDS (NLDR)",178,NA,0.76,0.53,1,NA,3.474,0.685,NA,NA,NA,NA,NA,65,48.551,0.747,0.394
"HSLMDS [k=178] [kQuality=180] (NLDR)","HSLMDS [k=178] [kQuality=180] (NLDR)","HSLMDS (NLDR)",178,NA,0.76,0.51,1,NA,7.663,0.722,NA,NA,NA,NA,NA,65,48.065,0.739,0.386
"HSLMDS [k=178] [kQuality=181] (NLDR)","HSLMDS [k=178] [kQuality=181] (NLDR)","HSLMDS (NLDR)",178,NA,0.76,0.51,1,NA,7.599,0.722,NA,NA,NA,NA,NA,65,48.065,0.739,0.386
"HSLMDS [k=184] (rNLDR)","HSLMDS [k=184] (rNLDR)","HSLMDS (rNLDR)",184,NA,0.82,0.64,1,NA,367.153,0.722,NA,NA,NA,NA,NA,43,31.849,0.741,0.507
