"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.73,0.46,3,0.001,3.216,0.722,NA,NA,NA,NA,NA,64,44.654,0.698,0.35
"DRR","DRR","DRR",NA,NA,0.61,0.22,3,0.029,4.192,0.722,NA,NA,NA,NA,NA,39,15.081,0.387,0.175
"HSLMDS [k=103] (rNLDR)","HSLMDS [k=103] (rNLDR)","HSLMDS (rNLDR)",103,NA,0.82,0.64,1,NA,356.765,0.722,NA,NA,NA,NA,NA,40,28.811,0.72,0.503
"HSLMDS [k=103] [kQuality=100] (NLDR)","HSLMDS [k=103] [kQuality=100] (NLDR)","HSLMDS (NLDR)",103,NA,0.81,0.61,1,NA,5.131,0.704,NA,NA,NA,NA,NA,39,26.903,0.69,0.478
"HSLMDS [k=103] [kQuality=101] (NLDR)","HSLMDS [k=103] [kQuality=101] (NLDR)","HSLMDS (NLDR)",103,NA,0.81,0.61,1,NA,5.186,0.704,NA,NA,NA,NA,NA,39,26.903,0.69,0.478
"HSLMDS [k=103] [kQuality=102] (NLDR)","HSLMDS [k=103] [kQuality=102] (NLDR)","HSLMDS (NLDR)",103,NA,0.81,0.61,1,NA,5.132,0.704,NA,NA,NA,NA,NA,39,26.903,0.69,0.478
"HSLMDS [k=103] [kQuality=103] (NLDR)","HSLMDS [k=103] [kQuality=103] (NLDR)","HSLMDS (NLDR)",103,NA,0.81,0.61,1,NA,5.054,0.704,NA,NA,NA,NA,NA,39,26.903,0.69,0.478
"HSLMDS [k=103] [kQuality=104] (NLDR)","HSLMDS [k=103] [kQuality=104] (NLDR)","HSLMDS (NLDR)",103,NA,0.81,0.61,1,NA,5.05,0.704,NA,NA,NA,NA,NA,39,26.903,0.69,0.478
"HSLMDS [k=103] [kQuality=105] (NLDR)","HSLMDS [k=103] [kQuality=105] (NLDR)","HSLMDS (NLDR)",103,NA,0.81,0.61,1,NA,5.388,0.722,NA,NA,NA,NA,NA,39,26.919,0.69,0.478
"HSLMDS [k=103] [kQuality=106] (NLDR)","HSLMDS [k=103] [kQuality=106] (NLDR)","HSLMDS (NLDR)",103,NA,0.81,0.61,1,NA,4.924,0.722,NA,NA,NA,NA,NA,39,26.892,0.69,0.478
"HSLMDS [k=109] (rNLDR)","HSLMDS [k=109] (rNLDR)","HSLMDS (rNLDR)",109,NA,0.82,0.64,1,NA,587.154,0.722,NA,NA,NA,NA,NA,39,27.816,0.713,0.501
"HSLMDS [k=109] [kQuality=106] (NLDR)","HSLMDS [k=109] [kQuality=106] (NLDR)","HSLMDS (NLDR)",109,NA,0.8,0.59,1,NA,3.855,0.722,NA,NA,NA,NA,NA,39,25.708,0.659,0.447
