"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.77,0.53,3,0,6.765,0.945,NA,NA,NA,NA,NA,56,35.724,0.638,0.409
"DRR","DRR","DRR",NA,NA,0.6,0.19,3,0.003,5.354,0.671,NA,NA,NA,NA,NA,70,31.671,0.452,0.167
"HSLMDS [k=103] (rNLDR)","HSLMDS [k=103] (rNLDR)","HSLMDS (rNLDR)",103,NA,0.78,0.56,1,NA,525.94,0.904,NA,NA,NA,NA,NA,65,47.077,0.724,0.459
"HSLMDS [k=103] [kQuality=100] (NLDR)","HSLMDS [k=103] [kQuality=100] (NLDR)","HSLMDS (NLDR)",103,NA,0.75,0.49,1,NA,6.37,0.877,NA,NA,NA,NA,NA,65,42.959,0.661,0.396
"HSLMDS [k=103] [kQuality=101] (NLDR)","HSLMDS [k=103] [kQuality=101] (NLDR)","HSLMDS (NLDR)",103,NA,0.75,0.49,1,NA,6.441,0.877,NA,NA,NA,NA,NA,65,42.959,0.661,0.396
"HSLMDS [k=103] [kQuality=102] (NLDR)","HSLMDS [k=103] [kQuality=102] (NLDR)","HSLMDS (NLDR)",103,NA,0.75,0.49,1,NA,6.369,0.877,NA,NA,NA,NA,NA,65,42.959,0.661,0.396
"HSLMDS [k=103] [kQuality=103] (NLDR)","HSLMDS [k=103] [kQuality=103] (NLDR)","HSLMDS (NLDR)",103,NA,0.75,0.49,1,NA,6.444,0.877,NA,NA,NA,NA,NA,65,42.959,0.661,0.396
"HSLMDS [k=103] [kQuality=104] (NLDR)","HSLMDS [k=103] [kQuality=104] (NLDR)","HSLMDS (NLDR)",103,NA,0.75,0.49,1,NA,6.443,0.877,NA,NA,NA,NA,NA,65,42.959,0.661,0.396
"HSLMDS [k=103] [kQuality=105] (NLDR)","HSLMDS [k=103] [kQuality=105] (NLDR)","HSLMDS (NLDR)",103,NA,0.75,0.49,1,NA,6.422,0.877,NA,NA,NA,NA,NA,65,42.959,0.661,0.396
"HSLMDS [k=103] [kQuality=106] (NLDR)","HSLMDS [k=103] [kQuality=106] (NLDR)","HSLMDS (NLDR)",103,NA,0.75,0.49,1,NA,6.443,0.877,NA,NA,NA,NA,NA,65,42.959,0.661,0.396
"HSLMDS [k=11] (rNLDR)","HSLMDS [k=11] (rNLDR)","HSLMDS (rNLDR)",11,NA,0.72,0.45,1,NA,526.089,1,NA,NA,NA,NA,NA,43,24.512,0.57,0.395
"HSLMDS [k=11] [kQuality=10] (NLDR)","HSLMDS [k=11] [kQuality=10] (NLDR)","HSLMDS (NLDR)",11,NA,0.73,0.45,1,NA,6.119,1,NA,NA,NA,NA,NA,40,22.289,0.557,0.394
"HSLMDS [k=11] [kQuality=11] (NLDR)","HSLMDS [k=11] [kQuality=11] (NLDR)","HSLMDS (NLDR)",11,NA,0.73,0.45,1,NA,4.77,1,NA,NA,NA,NA,NA,40,22.289,0.557,0.394
"HSLMDS [k=11] [kQuality=12] (NLDR)","HSLMDS [k=11] [kQuality=12] (NLDR)","HSLMDS (NLDR)",11,NA,0.73,0.45,1,NA,6.295,1,NA,NA,NA,NA,NA,40,22.289,0.557,0.394
"HSLMDS [k=11] [kQuality=13] (NLDR)","HSLMDS [k=11] [kQuality=13] (NLDR)","HSLMDS (NLDR)",11,NA,0.73,0.45,1,NA,6.466,1,NA,NA,NA,NA,NA,40,22.289,0.557,0.394
"HSLMDS [k=11] [kQuality=14] (NLDR)","HSLMDS [k=11] [kQuality=14] (NLDR)","HSLMDS (NLDR)",11,NA,0.73,0.45,1,NA,4.711,1,NA,NA,NA,NA,NA,40,22.289,0.557,0.394
