"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"29","GSE18842",91,54675,4975425,"HSMDS (NLDR)","HSMDS (NLDR)","HSMDS (NLDR)",NA,NA,0.8,0.6,3,0,2.068,0.923,1,0.846,0.867,1,0.929,26,19.736,0.759,0.47
"30","GSE18842",91,54675,4975425,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.66,0.31,3,0.022,1.041,0.846,0.923,0.769,0.8,0.923,0.857,28,16.22,0.579,0.268
"31","GSE18842",91,54675,4975425,"DRR","DRR","DRR",NA,NA,0.66,0.31,3,0.027,3.3,0.846,0.923,0.769,0.8,0.923,0.857,25,13.593,0.544,0.266
"32","GSE18842",91,54675,4975425,"kPCA","kPCA","kPCA",NA,NA,0.51,0.01,3,0,0.113,0.462,0.615,0.308,0.471,0.615,0.533,2,0.099,0.049,0.027
"33","GSE21034",185,43419,8032515,"tSNE [perp=22]","tSNE [perp=22]","tSNE",NA,22,0.77,0.54,1,NA,0.992,0.852,NA,NA,NA,NA,NA,2,1.168,0.584,0.573
"34","GSE21034",185,43419,8032515,"UMAP [k=40]","UMAP [k=40]","UMAP",40,NA,0.72,0.43,1,NA,0.498,0.796,NA,NA,NA,NA,NA,39,21.546,0.552,0.341
"35","GSE21034",185,43419,8032515,"LMDS [k=3] [kQuality=4] (NLDR)","LMDS [k=3] [kQuality=4] (NLDR)","LMDS (NLDR)",3,NA,0.72,0.43,1,NA,8.371,0.796,NA,NA,NA,NA,NA,35,18.822,0.538,0.348
"36","GSE21034",185,43419,8032515,"HSLMDS [k=3] [kQuality=4] (NLDR)","HSLMDS [k=3] [kQuality=4] (NLDR)","HSLMDS (NLDR)",3,NA,0.72,0.43,1,NA,10.176,0.796,NA,NA,NA,NA,NA,35,18.822,0.538,0.348
"37","GSE21034",185,43419,8032515,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.64,0.27,3,0,0.021,0.759,NA,NA,NA,NA,NA,47,21.805,0.464,0.209
"38","GSE21034",185,43419,8032515,"HSLMDS [k=178] (rNLDR)","HSLMDS [k=178] (rNLDR)","HSLMDS (rNLDR)",178,NA,0.83,0.66,1,NA,431.002,0.741,NA,NA,NA,NA,NA,40,29.681,0.742,0.525
"39","GSE21034",185,43419,8032515,"LMDS [k=97] (rNLDR)","LMDS [k=97] (rNLDR)","LMDS (rNLDR)",97,NA,0.82,0.64,1,NA,72.932,0.741,NA,NA,NA,NA,NA,43,32.005,0.744,0.511
"40","GSE21034",185,43419,8032515,"HSMDS (NLDR)","HSMDS (NLDR)","HSMDS (NLDR)",NA,NA,0.83,0.66,3,0.001,14.476,0.722,NA,NA,NA,NA,NA,39,28.665,0.735,0.523
"41","GSE21034",185,43419,8032515,"MDS (NLDR)","MDS (NLDR)","MDS (NLDR)",NA,NA,0.82,0.64,3,0,2.068,0.722,NA,NA,NA,NA,NA,38,27.086,0.713,0.506
"42","GSE21034",185,43419,8032515,"Isomap [k=128]","Isomap [k=128]","Isomap",128,NA,0.8,0.6,1,NA,1.411,0.722,NA,NA,NA,NA,NA,41,27.919,0.681,0.458
"43","GSE21034",185,43419,8032515,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.73,0.46,3,0.001,3.216,0.722,NA,NA,NA,NA,NA,64,44.654,0.698,0.35
"44","GSE21034",185,43419,8032515,"LMDS [k=178] (smacofx)","LMDS [k=178] (smacofx)","LMDS (smacofx)",178,NA,0.63,0.25,1,NA,3.298,0.722,NA,NA,NA,NA,NA,34,12.811,0.377,0.192
"45","GSE21034",185,43419,8032515,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.61,0.22,3,0.022,1.602,0.722,NA,NA,NA,NA,NA,39,15.097,0.387,0.175
"46","GSE21034",185,43419,8032515,"DRR","DRR","DRR",NA,NA,0.61,0.22,3,0.029,4.192,0.722,NA,NA,NA,NA,NA,39,15.081,0.387,0.175
