"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"HSLMDS [k=240] [kQuality=237] (NLDR)","HSLMDS [k=240] [kQuality=237] (NLDR)","HSLMDS (NLDR)",240,NA,0.84,0.67,1,NA,8.591,0.938,0.95,0.925,0.927,0.95,0.938,80,67.545,0.844,0.545
"HSLMDS [k=240] [kQuality=238] (NLDR)","HSLMDS [k=240] [kQuality=238] (NLDR)","HSLMDS (NLDR)",240,NA,0.84,0.67,1,NA,8.652,0.938,0.95,0.925,0.927,0.95,0.938,80,67.545,0.844,0.545
"HSLMDS [k=240] [kQuality=239] (NLDR)","HSLMDS [k=240] [kQuality=239] (NLDR)","HSLMDS (NLDR)",240,NA,0.84,0.67,1,NA,8.617,0.938,0.95,0.925,0.927,0.95,0.938,80,67.545,0.844,0.545
"HSLMDS [k=240] [kQuality=240] (NLDR)","HSLMDS [k=240] [kQuality=240] (NLDR)","HSLMDS (NLDR)",240,NA,0.84,0.67,1,NA,8.662,0.938,0.95,0.925,0.927,0.95,0.938,80,67.545,0.844,0.545
"HSLMDS [k=240] [kQuality=241] (NLDR)","HSLMDS [k=240] [kQuality=241] (NLDR)","HSLMDS (NLDR)",240,NA,0.84,0.67,1,NA,9.159,0.938,0.95,0.925,0.927,0.95,0.938,73,59.832,0.82,0.546
"HSLMDS [k=240] [kQuality=242] (NLDR)","HSLMDS [k=240] [kQuality=242] (NLDR)","HSLMDS (NLDR)",240,NA,0.84,0.67,1,NA,7.986,0.938,0.95,0.925,0.927,0.95,0.938,73,59.847,0.82,0.546
"HSLMDS [k=240] [kQuality=243] (NLDR)","HSLMDS [k=240] [kQuality=243] (NLDR)","HSLMDS (NLDR)",240,NA,0.84,0.67,1,NA,9.205,0.938,0.95,0.925,0.927,0.95,0.938,73,59.832,0.82,0.546
"HSLMDS [k=249] (rNLDR)","HSLMDS [k=249] (rNLDR)","HSLMDS (rNLDR)",249,NA,0.84,0.68,1,NA,589.358,0.95,0.975,0.925,0.929,0.975,0.951,66,52.496,0.795,0.548
"HSLMDS [k=249] [kQuality=246] (NLDR)","HSLMDS [k=249] [kQuality=246] (NLDR)","HSLMDS (NLDR)",249,NA,0.84,0.67,1,NA,7.893,0.925,0.925,0.925,0.925,0.925,0.925,68,54.179,0.797,0.542
"HSLMDS [k=249] [kQuality=247] (NLDR)","HSLMDS [k=249] [kQuality=247] (NLDR)","HSLMDS (NLDR)",249,NA,0.84,0.67,1,NA,6.647,0.925,0.925,0.925,0.925,0.925,0.925,68,54.179,0.797,0.542
"HSLMDS [k=249] [kQuality=248] (NLDR)","HSLMDS [k=249] [kQuality=248] (NLDR)","HSLMDS (NLDR)",249,NA,0.84,0.67,1,NA,7.935,0.925,0.925,0.925,0.925,0.925,0.925,68,54.179,0.797,0.542
"HSLMDS [k=249] [kQuality=249] (NLDR)","HSLMDS [k=249] [kQuality=249] (NLDR)","HSLMDS (NLDR)",249,NA,0.84,0.67,1,NA,8.844,0.925,0.925,0.925,0.925,0.925,0.925,69,55.224,0.8,0.542
"HSLMDS [k=249] [kQuality=250] (NLDR)","HSLMDS [k=249] [kQuality=250] (NLDR)","HSLMDS (NLDR)",249,NA,0.84,0.67,1,NA,8.884,0.925,0.925,0.925,0.925,0.925,0.925,69,55.224,0.8,0.542
"HSLMDS [k=249] [kQuality=251] (NLDR)","HSLMDS [k=249] [kQuality=251] (NLDR)","HSLMDS (NLDR)",249,NA,0.84,0.67,1,NA,6.638,0.925,0.925,0.925,0.925,0.925,0.925,68,54.179,0.797,0.542
"HSLMDS [k=249] [kQuality=252] (NLDR)","HSLMDS [k=249] [kQuality=252] (NLDR)","HSLMDS (NLDR)",249,NA,0.84,0.67,1,NA,6.374,0.925,0.925,0.925,0.925,0.925,0.925,68,54.172,0.797,0.542
