"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.77,0.53,3,0,1.027,0.962,1,0.923,0.929,1,0.963,17,10.714,0.63,0.441
"DRR","DRR","DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261
"HSLMDS [k=12] [kQuality=10] (HSLocalMDS)","HSLMDS [k=12] [kQuality=10] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.75,0.48,1,NA,38.582,0.962,1,0.923,0.929,1,0.963,13,7.44,0.572,0.428
"HSLMDS [k=12] [kQuality=11] (HSLocalMDS)","HSLMDS [k=12] [kQuality=11] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,34.512,0.885,0.923,0.846,0.857,0.923,0.889,13,7.429,0.571,0.427
"HSLMDS [k=12] [kQuality=12] (HSLocalMDS)","HSLMDS [k=12] [kQuality=12] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.75,0.48,1,NA,74.587,0.962,1,0.923,0.929,1,0.963,13,7.44,0.572,0.428
"HSLMDS [k=12] [kQuality=13] (HSLocalMDS)","HSLMDS [k=12] [kQuality=13] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.75,0.48,1,NA,37.703,0.962,1,0.923,0.929,1,0.963,13,7.44,0.572,0.428
"HSLMDS [k=12] [kQuality=14] (HSLocalMDS)","HSLMDS [k=12] [kQuality=14] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.75,0.49,1,NA,31.216,0.923,1,0.846,0.867,1,0.929,20,13.022,0.651,0.429
"HSLMDS [k=12] [kQuality=15] (HSLocalMDS)","HSLMDS [k=12] [kQuality=15] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.76,0.51,1,NA,256.822,0.962,1,0.923,0.929,1,0.963,22,15.11,0.687,0.442
"HSLMDS [k=12] [kQuality=9] (HSLocalMDS)","HSLMDS [k=12] [kQuality=9] (HSLocalMDS)","HSLMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,34.546,0.885,0.923,0.846,0.857,0.923,0.889,13,7.429,0.571,0.427
"HSLMDS [k=15] [kQuality=12] (HSLocalMDS)","HSLMDS [k=15] [kQuality=12] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.76,0.52,1,NA,22.521,0.923,1,0.846,0.867,1,0.929,13,7.934,0.61,0.466
"HSLMDS [k=15] [kQuality=13] (HSLocalMDS)","HSLMDS [k=15] [kQuality=13] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.76,0.52,1,NA,22.49,0.923,1,0.846,0.867,1,0.929,13,7.934,0.61,0.466
"HSLMDS [k=15] [kQuality=14] (HSLocalMDS)","HSLMDS [k=15] [kQuality=14] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.76,0.52,1,NA,22.476,0.923,1,0.846,0.867,1,0.929,13,7.934,0.61,0.466
"HSLMDS [k=15] [kQuality=15] (HSLocalMDS)","HSLMDS [k=15] [kQuality=15] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.76,0.52,1,NA,22.887,0.885,0.846,0.923,0.917,0.846,0.88,15,9.429,0.629,0.462
"HSLMDS [k=15] [kQuality=16] (HSLocalMDS)","HSLMDS [k=15] [kQuality=16] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.76,0.52,1,NA,18.632,0.923,0.846,1,1,0.846,0.917,21,14.527,0.692,0.458
"HSLMDS [k=15] [kQuality=17] (HSLocalMDS)","HSLMDS [k=15] [kQuality=17] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.76,0.52,1,NA,17.385,0.923,0.846,1,1,0.846,0.917,19,12.703,0.669,0.457
"HSLMDS [k=15] [kQuality=18] (HSLocalMDS)","HSLMDS [k=15] [kQuality=18] (HSLocalMDS)","HSLMDS (HSLocalMDS)",15,NA,0.76,0.52,1,NA,17.277,0.923,0.846,1,1,0.846,0.917,21,14.527,0.692,0.458
"HSLMDS [k=18] [kQuality=15] (HSLocalMDS)","HSLMDS [k=18] [kQuality=15] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.75,0.5,1,NA,45.958,0.846,0.769,0.923,0.909,0.769,0.833,22,15.033,0.683,0.439
"HSLMDS [k=18] [kQuality=16] (HSLocalMDS)","HSLMDS [k=18] [kQuality=16] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.75,0.5,1,NA,46.118,0.846,0.769,0.923,0.909,0.769,0.833,22,15.033,0.683,0.439
"HSLMDS [k=18] [kQuality=17] (HSLocalMDS)","HSLMDS [k=18] [kQuality=17] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.75,0.5,1,NA,61.126,0.846,0.769,0.923,0.909,0.769,0.833,22,15.044,0.684,0.439
"HSLMDS [k=18] [kQuality=18] (HSLocalMDS)","HSLMDS [k=18] [kQuality=18] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.75,0.5,1,NA,46.227,0.846,0.769,0.923,0.909,0.769,0.833,22,15.033,0.683,0.439
"HSLMDS [k=18] [kQuality=19] (HSLocalMDS)","HSLMDS [k=18] [kQuality=19] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.75,0.5,1,NA,61.145,0.846,0.769,0.923,0.909,0.769,0.833,22,15.044,0.684,0.439
"HSLMDS [k=18] [kQuality=20] (HSLocalMDS)","HSLMDS [k=18] [kQuality=20] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.75,0.5,1,NA,45.967,0.846,0.769,0.923,0.909,0.769,0.833,22,15.033,0.683,0.439
"HSLMDS [k=18] [kQuality=21] (HSLocalMDS)","HSLMDS [k=18] [kQuality=21] (HSLocalMDS)","HSLMDS (HSLocalMDS)",18,NA,0.75,0.5,1,NA,46.162,0.846,0.769,0.923,0.909,0.769,0.833,22,15.033,0.683,0.439
"HSLMDS [k=21] [kQuality=18] (HSLocalMDS)","HSLMDS [k=21] [kQuality=18] (HSLocalMDS)","HSLMDS (HSLocalMDS)",21,NA,0.77,0.53,1,NA,23.793,0.923,1,0.846,0.867,1,0.929,21,14.582,0.694,0.461
