"","id","k","Agr","ER(Agr)","AdjNum","AdjDenom","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted","AgrAdj"
"1","DRR",1,0.043956043956044,0.0111111111111111,0.0328449328449328,0.988888888888889,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.0328449328449328
"2","DRR",2,0.126373626373626,0.0222222222222222,0.104151404151404,0.977777777777778,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.104151404151404
"3","DRR",3,0.146520146520147,0.0333333333333333,0.113186813186813,0.966666666666667,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.113186813186813
"4","DRR",4,0.181318681318681,0.0444444444444444,0.136874236874237,0.955555555555556,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.136874236874237
"5","DRR",5,0.206593406593407,0.0555555555555556,0.151037851037851,0.944444444444444,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.151037851037851
"6","DRR",6,0.217948717948718,0.0666666666666667,0.151282051282051,0.933333333333333,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.151282051282051
"7","DRR",7,0.235478806907378,0.0777777777777778,0.157701029129601,0.922222222222222,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.157701029129601
"8","DRR",8,0.256868131868132,0.0888888888888889,0.167979242979243,0.911111111111111,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.167979242979243
"9","DRR",9,0.275946275946276,0.1,0.175946275946276,0.9,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.175946275946276
"10","DRR",10,0.304395604395604,0.111111111111111,0.193284493284493,0.888888888888889,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.193284493284493
"11","DRR",11,0.323676323676324,0.122222222222222,0.201454101454101,0.877777777777778,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.201454101454101
"12","DRR",12,0.347985347985348,0.133333333333333,0.214652014652015,0.866666666666667,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.214652014652015
"13","DRR",13,0.366018596787828,0.144444444444444,0.221574152343383,0.855555555555556,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.221574152343383
"14","DRR",14,0.386970172684458,0.155555555555556,0.231414617128903,0.844444444444444,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.231414617128903
"15","DRR",15,0.408058608058608,0.166666666666667,0.241391941391941,0.833333333333333,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.241391941391941
"16","DRR",16,0.424450549450549,0.177777777777778,0.246672771672772,0.822222222222222,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.246672771672772
"17","DRR",17,0.442792501616031,0.188888888888889,0.253903612727142,0.811111111111111,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.253903612727142
"18","DRR",18,0.446886446886447,0.2,0.246886446886447,0.8,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.246886446886447
"19","DRR",19,0.459224985540775,0.211111111111111,0.248113874429664,0.788888888888889,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.248113874429664
"20","DRR",20,0.470879120879121,0.222222222222222,0.248656898656899,0.777777777777778,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.248656898656899
"21","DRR",21,0.484039769754055,0.233333333333333,0.250706436420722,0.766666666666667,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.250706436420722
"22","DRR",22,0.5,0.244444444444444,0.255555555555556,0.755555555555556,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.255555555555556
"23","DRR",23,0.516005733397038,0.255555555555556,0.260450177841482,0.744444444444444,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.260450177841482
"24","DRR",24,0.52518315018315,0.266666666666667,0.258516483516484,0.733333333333333,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.258516483516484
"25","DRR",25,0.538901098901099,0.277777777777778,0.261123321123321,0.722222222222222,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.261123321123321
"26","DRR",26,0.549027895181741,0.288888888888889,0.260139006292852,0.711111111111111,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.260139006292852
"27","DRR",27,0.556776556776557,0.3,0.256776556776557,0.7,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.256776556776557
"28","DRR",28,0.570643642072214,0.311111111111111,0.259532530961102,0.688888888888889,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.259532530961102
"29","DRR",29,0.582038651004168,0.322222222222222,0.259816428781946,0.677777777777778,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.259816428781946
"30","DRR",30,0.587545787545788,0.333333333333333,0.254212454212454,0.666666666666667,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.254212454212454
"31","DRR",31,0.592697624955689,0.344444444444444,0.248253180511245,0.655555555555556,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.248253180511245
"32","DRR",32,0.603365384615385,0.355555555555556,0.247809829059829,0.644444444444444,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.247809829059829
"33","DRR",33,0.610722610722611,0.366666666666667,0.244055944055944,0.633333333333333,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.244055944055944
"34","DRR",34,0.61732385261797,0.377777777777778,0.239546074840193,0.622222222222222,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.239546074840193
"35","DRR",35,0.626059654631083,0.388888888888889,0.237170765742194,0.611111111111111,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.237170765742194
"36","DRR",36,0.631868131868132,0.4,0.231868131868132,0.6,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.231868131868132
"37","DRR",37,0.638550638550639,0.411111111111111,0.227439527439527,0.588888888888889,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.227439527439527
"38","DRR",38,0.649508386350492,0.422222222222222,0.227286164128269,0.577777777777778,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.227286164128269
"39","DRR",39,0.659340659340659,0.433333333333333,0.226007326007326,0.566666666666667,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.226007326007326
"40","DRR",40,0.665934065934066,0.444444444444444,0.221489621489621,0.555555555555556,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.221489621489621
"41","DRR",41,0.673009916912356,0.455555555555556,0.2174543613568,0.544444444444445,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.2174543613568
"42","DRR",42,0.677917320774464,0.466666666666667,0.211250654107797,0.533333333333333,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.211250654107797
"43","DRR",43,0.681829798108868,0.477777777777778,0.20405202033109,0.522222222222222,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.20405202033109
"44","DRR",44,0.690809190809191,0.488888888888889,0.201920301920302,0.511111111111111,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.201920301920302
"45","DRR",45,0.699145299145299,0.5,0.199145299145299,0.5,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.199145299145299
"46","DRR",46,0.704968944099379,0.511111111111111,0.193857832988268,0.488888888888889,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.193857832988268
"47","DRR",47,0.709843348141221,0.522222222222222,0.187621125918998,0.477777777777778,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.187621125918998
"48","DRR",48,0.71474358974359,0.533333333333333,0.181410256410256,0.466666666666667,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.181410256410256
"49","DRR",49,0.719443821484638,0.544444444444444,0.174999377040193,0.455555555555556,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.174999377040193
"50","DRR",50,0.724395604395604,0.555555555555556,0.168840048840049,0.444444444444444,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.168840048840049
"51","DRR",51,0.730661495367378,0.566666666666667,0.163994828700711,0.433333333333333,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.163994828700711
"52","DRR",52,0.738377007607777,0.577777777777778,0.160599229829999,0.422222222222222,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.160599229829999
"53","DRR",53,0.743727970143064,0.588888888888889,0.154839081254176,0.411111111111111,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.154839081254176
"54","DRR",54,0.748473748473748,0.6,0.148473748473749,0.4,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.148473748473749
"55","DRR",55,0.754245754245754,0.611111111111111,0.143134643134643,0.388888888888889,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.143134643134643
"56","DRR",56,0.760989010989011,0.622222222222222,0.138766788766789,0.377777777777778,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.138766788766789
"57","DRR",57,0.764989396568344,0.633333333333333,0.131656063235011,0.366666666666667,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.131656063235011
"58","DRR",58,0.771314892004547,0.644444444444444,0.126870447560103,0.355555555555556,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.126870447560103
"59","DRR",59,0.771838331160365,0.655555555555556,0.116282775604809,0.344444444444444,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.116282775604809
"60","DRR",60,0.776923076923077,0.666666666666667,0.11025641025641,0.333333333333333,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.11025641025641
"61","DRR",61,0.784183030084669,0.677777777777778,0.106405252306892,0.322222222222222,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.106405252306892
"62","DRR",62,0.788727401630627,0.688888888888889,0.0998385127417386,0.311111111111111,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.0998385127417386
"63","DRR",63,0.794348508634223,0.7,0.0943485086342229,0.3,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.0943485086342229
"64","DRR",64,0.802541208791209,0.711111111111111,0.0914300976800977,0.288888888888889,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.0914300976800977
"65","DRR",65,0.807776838546069,0.722222222222222,0.0855546163238471,0.277777777777778,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.0855546163238471
"66","DRR",66,0.815184815184815,0.733333333333333,0.0818514818514819,0.266666666666667,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.0818514818514819
"67","DRR",67,0.821715597835001,0.744444444444444,0.0772711533905563,0.255555555555556,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.0772711533905563
"68","DRR",68,0.83322559793148,0.755555555555556,0.0776700423759248,0.244444444444444,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.0776700423759248
"69","DRR",69,0.841853798375538,0.766666666666667,0.0751871317088708,0.233333333333333,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.0751871317088708
"70","DRR",70,0.849136577708006,0.777777777777778,0.0713587999302285,0.222222222222222,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.0713587999302285
"71","DRR",71,0.856988082340195,0.788888888888889,0.0680991934513061,0.211111111111111,"DRR",NA,NA,0.66,0.31,3,0.016,3.25,0.808,0.846,0.769,0.786,0.846,0.815,25,13.473,0.539,0.261,0.0680991934513061
