"","id","k","Agr","ER(Agr)","AdjNum","AdjDenom","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted","AgrAdj"
"1","DRR",1,0.0454545454545455,0.0114942528735632,0.0339602925809822,0.988505747126437,"DRR",NA,NA,0.62,0.24,3,0.03,3.1,0.84,NA,NA,NA,NA,NA,20,8.239,0.412,0.182,0.0339602925809822
"2","DRR",2,0.0852272727272727,0.0229885057471264,0.0622387669801463,0.977011494252874,"DRR",NA,NA,0.62,0.24,3,0.03,3.1,0.84,NA,NA,NA,NA,NA,20,8.239,0.412,0.182,0.0622387669801463
"3","DRR",3,0.0871212121212121,0.0344827586206897,0.0526384535005225,0.96551724137931,"DRR",NA,NA,0.62,0.24,3,0.03,3.1,0.84,NA,NA,NA,NA,NA,20,8.239,0.412,0.182,0.0526384535005225
"4","DRR",4,0.107954545454545,0.0459770114942529,0.0619775339602926,0.954022988505747,"DRR",NA,NA,0.62,0.24,3,0.03,3.1,0.84,NA,NA,NA,NA,NA,20,8.239,0.412,0.182,0.0619775339602926
"5","DRR",5,0.145454545454545,0.0574712643678161,0.0879832810867294,0.942528735632184,"DRR",NA,NA,0.62,0.24,3,0.03,3.1,0.84,NA,NA,NA,NA,NA,20,8.239,0.412,0.182,0.0879832810867294
"6","DRR",6,0.15719696969697,0.0689655172413793,0.0882314524555904,0.931034482758621,"DRR",NA,NA,0.62,0.24,3,0.03,3.1,0.84,NA,NA,NA,NA,NA,20,8.239,0.412,0.182,0.0882314524555904
"7","DRR",7,0.176948051948052,0.0804597701149425,0.0964882818331094,0.919540229885057,"DRR",NA,NA,0.62,0.24,3,0.03,3.1,0.84,NA,NA,NA,NA,NA,20,8.239,0.412,0.182,0.0964882818331094
"8","DRR",8,0.204545454545455,0.0919540229885057,0.112591431556949,0.908045977011494,"DRR",NA,NA,0.62,0.24,3,0.03,3.1,0.84,NA,NA,NA,NA,NA,20,8.239,0.412,0.182,0.112591431556949
"9","DRR",9,0.227272727272727,0.103448275862069,0.123824451410658,0.896551724137931,"DRR",NA,NA,0.62,0.24,3,0.03,3.1,0.84,NA,NA,NA,NA,NA,20,8.239,0.412,0.182,0.123824451410658
"10","DRR",10,0.256818181818182,0.114942528735632,0.14187565308255,0.885057471264368,"DRR",NA,NA,0.62,0.24,3,0.03,3.1,0.84,NA,NA,NA,NA,NA,20,8.239,0.412,0.182,0.14187565308255
"11","DRR",11,0.268595041322314,0.126436781609195,0.142158259713119,0.873563218390805,"DRR",NA,NA,0.62,0.24,3,0.03,3.1,0.84,NA,NA,NA,NA,NA,20,8.239,0.412,0.182,0.142158259713119
