"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"HSLMDS [k=17] [kQuality=15] (NLDR)","HSLMDS [k=17] [kQuality=15] (NLDR)","HSLMDS (NLDR)",17,NA,0.71,0.42,1,NA,1.242,0.8,NA,NA,NA,NA,NA,17,9.705,0.571,0.375
"HSLMDS [k=17] [kQuality=16] (NLDR)","HSLMDS [k=17] [kQuality=16] (NLDR)","HSLMDS (NLDR)",17,NA,0.71,0.42,1,NA,0.63,0.8,NA,NA,NA,NA,NA,17,9.716,0.572,0.376
"HSLMDS [k=17] [kQuality=17] (NLDR)","HSLMDS [k=17] [kQuality=17] (NLDR)","HSLMDS (NLDR)",17,NA,0.7,0.39,1,NA,2.028,0.84,NA,NA,NA,NA,NA,16,8.602,0.538,0.354
"HSLMDS [k=17] [kQuality=18] (NLDR)","HSLMDS [k=17] [kQuality=18] (NLDR)","HSLMDS (NLDR)",17,NA,0.71,0.42,1,NA,0.791,0.88,NA,NA,NA,NA,NA,17,9.705,0.571,0.375
"HSLMDS [k=17] [kQuality=19] (NLDR)","HSLMDS [k=17] [kQuality=19] (NLDR)","HSLMDS (NLDR)",17,NA,0.71,0.42,1,NA,0.767,0.88,NA,NA,NA,NA,NA,17,9.705,0.571,0.375
"HSLMDS [k=17] [kQuality=20] (NLDR)","HSLMDS [k=17] [kQuality=20] (NLDR)","HSLMDS (NLDR)",17,NA,0.71,0.42,1,NA,0.789,0.88,NA,NA,NA,NA,NA,17,9.705,0.571,0.375
"HSLMDS [k=20] (rNLDR)","HSLMDS [k=20] (rNLDR)","HSLMDS (rNLDR)",20,NA,0.75,0.5,1,NA,67.442,0.8,NA,NA,NA,NA,NA,19,11.705,0.616,0.398
"HSLMDS [k=20] [kQuality=17] (NLDR)","HSLMDS [k=20] [kQuality=17] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.41,1,NA,1.093,0.76,NA,NA,NA,NA,NA,17,9.443,0.555,0.36
"HSLMDS [k=20] [kQuality=18] (NLDR)","HSLMDS [k=20] [kQuality=18] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.41,1,NA,1.124,0.76,NA,NA,NA,NA,NA,17,9.443,0.555,0.36
"HSLMDS [k=20] [kQuality=19] (NLDR)","HSLMDS [k=20] [kQuality=19] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.41,1,NA,1.112,0.76,NA,NA,NA,NA,NA,17,9.443,0.555,0.36
"HSLMDS [k=20] [kQuality=20] (NLDR)","HSLMDS [k=20] [kQuality=20] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.41,1,NA,1.117,0.76,NA,NA,NA,NA,NA,17,9.443,0.555,0.36
"HSLMDS [k=20] [kQuality=21] (NLDR)","HSLMDS [k=20] [kQuality=21] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.41,1,NA,1.12,0.76,NA,NA,NA,NA,NA,17,9.443,0.555,0.36
"HSLMDS [k=20] [kQuality=22] (NLDR)","HSLMDS [k=20] [kQuality=22] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.41,1,NA,1.105,0.76,NA,NA,NA,NA,NA,17,9.443,0.555,0.36
"HSLMDS [k=20] [kQuality=23] (NLDR)","HSLMDS [k=20] [kQuality=23] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.41,1,NA,1.097,0.76,NA,NA,NA,NA,NA,17,9.443,0.555,0.36
"HSLMDS [k=23] (rNLDR)","HSLMDS [k=23] (rNLDR)","HSLMDS (rNLDR)",23,NA,0.76,0.52,1,NA,78.886,0.84,NA,NA,NA,NA,NA,24,16.477,0.687,0.411
"HSLMDS [k=23] [kQuality=20] (NLDR)","HSLMDS [k=23] [kQuality=20] (NLDR)","HSLMDS (NLDR)",23,NA,0.73,0.46,1,NA,1.016,0.76,NA,NA,NA,NA,NA,24,15.716,0.655,0.379
"HSLMDS [k=23] [kQuality=21] (NLDR)","HSLMDS [k=23] [kQuality=21] (NLDR)","HSLMDS (NLDR)",23,NA,0.73,0.46,1,NA,0.554,0.76,NA,NA,NA,NA,NA,21,13.034,0.621,0.379
"HSLMDS [k=23] [kQuality=22] (NLDR)","HSLMDS [k=23] [kQuality=22] (NLDR)","HSLMDS (NLDR)",23,NA,0.73,0.46,1,NA,0.741,0.76,NA,NA,NA,NA,NA,24,15.716,0.655,0.379
"HSLMDS [k=23] [kQuality=23] (NLDR)","HSLMDS [k=23] [kQuality=23] (NLDR)","HSLMDS (NLDR)",23,NA,0.73,0.46,1,NA,0.762,0.76,NA,NA,NA,NA,NA,24,15.716,0.655,0.379
"HSLMDS [k=23] [kQuality=24] (NLDR)","HSLMDS [k=23] [kQuality=24] (NLDR)","HSLMDS (NLDR)",23,NA,0.73,0.46,1,NA,0.571,0.76,NA,NA,NA,NA,NA,24,15.727,0.655,0.379
"HSLMDS [k=23] [kQuality=25] (NLDR)","HSLMDS [k=23] [kQuality=25] (NLDR)","HSLMDS (NLDR)",23,NA,0.73,0.46,1,NA,0.57,0.76,NA,NA,NA,NA,NA,21,13.034,0.621,0.379
"HSLMDS [k=23] [kQuality=26] (NLDR)","HSLMDS [k=23] [kQuality=26] (NLDR)","HSLMDS (NLDR)",23,NA,0.73,0.46,1,NA,0.574,0.76,NA,NA,NA,NA,NA,21,13.034,0.621,0.379
"HSLMDS [k=26] (rNLDR)","HSLMDS [k=26] (rNLDR)","HSLMDS (rNLDR)",26,NA,0.77,0.53,1,NA,57.359,0.88,NA,NA,NA,NA,NA,25,17.489,0.7,0.412
"HSLMDS [k=26] [kQuality=23] (NLDR)","HSLMDS [k=26] [kQuality=23] (NLDR)","HSLMDS (NLDR)",26,NA,0.74,0.47,1,NA,2.571,0.84,NA,NA,NA,NA,NA,26,17.614,0.677,0.379
"HSLMDS [k=26] [kQuality=24] (NLDR)","HSLMDS [k=26] [kQuality=24] (NLDR)","HSLMDS (NLDR)",26,NA,0.74,0.47,1,NA,1.672,0.84,NA,NA,NA,NA,NA,26,17.636,0.678,0.379
"HSLMDS [k=26] [kQuality=25] (NLDR)","HSLMDS [k=26] [kQuality=25] (NLDR)","HSLMDS (NLDR)",26,NA,0.74,0.47,1,NA,0.645,0.84,NA,NA,NA,NA,NA,26,17.636,0.678,0.379
"HSLMDS [k=26] [kQuality=26] (NLDR)","HSLMDS [k=26] [kQuality=26] (NLDR)","HSLMDS (NLDR)",26,NA,0.74,0.47,1,NA,0.648,0.84,NA,NA,NA,NA,NA,26,17.636,0.678,0.379
"HSLMDS [k=26] [kQuality=27] (NLDR)","HSLMDS [k=26] [kQuality=27] (NLDR)","HSLMDS (NLDR)",26,NA,0.74,0.47,1,NA,1.608,0.84,NA,NA,NA,NA,NA,26,17.636,0.678,0.379
"HSLMDS [k=26] [kQuality=28] (NLDR)","HSLMDS [k=26] [kQuality=28] (NLDR)","HSLMDS (NLDR)",26,NA,0.74,0.47,1,NA,0.65,0.84,NA,NA,NA,NA,NA,26,17.636,0.678,0.379
"HSLMDS [k=26] [kQuality=29] (NLDR)","HSLMDS [k=26] [kQuality=29] (NLDR)","HSLMDS (NLDR)",26,NA,0.74,0.47,1,NA,0.651,0.84,NA,NA,NA,NA,NA,26,17.636,0.678,0.379
"HSLMDS [k=29] (rNLDR)","HSLMDS [k=29] (rNLDR)","HSLMDS (rNLDR)",29,NA,0.77,0.54,1,NA,55.988,0.84,NA,NA,NA,NA,NA,24,16.693,0.696,0.42
"HSLMDS [k=29] [kQuality=26] (NLDR)","HSLMDS [k=29] [kQuality=26] (NLDR)","HSLMDS (NLDR)",29,NA,0.72,0.44,1,NA,1.529,0.8,NA,NA,NA,NA,NA,26,17.239,0.663,0.364
"HSLMDS [k=29] [kQuality=27] (NLDR)","HSLMDS [k=29] [kQuality=27] (NLDR)","HSLMDS (NLDR)",29,NA,0.72,0.44,1,NA,1.533,0.8,NA,NA,NA,NA,NA,26,17.239,0.663,0.364
"HSLMDS [k=29] [kQuality=28] (NLDR)","HSLMDS [k=29] [kQuality=28] (NLDR)","HSLMDS (NLDR)",29,NA,0.72,0.44,1,NA,1.538,0.8,NA,NA,NA,NA,NA,26,17.239,0.663,0.364
"HSLMDS [k=29] [kQuality=29] (NLDR)","HSLMDS [k=29] [kQuality=29] (NLDR)","HSLMDS (NLDR)",29,NA,0.72,0.44,1,NA,1.548,0.8,NA,NA,NA,NA,NA,26,17.239,0.663,0.364
"HSLMDS [k=29] [kQuality=30] (NLDR)","HSLMDS [k=29] [kQuality=30] (NLDR)","HSLMDS (NLDR)",29,NA,0.72,0.44,1,NA,1.534,0.8,NA,NA,NA,NA,NA,26,17.239,0.663,0.364
"HSLMDS [k=29] [kQuality=31] (NLDR)","HSLMDS [k=29] [kQuality=31] (NLDR)","HSLMDS (NLDR)",29,NA,0.72,0.44,1,NA,1.548,0.8,NA,NA,NA,NA,NA,26,17.239,0.663,0.364
"HSLMDS [k=29] [kQuality=32] (NLDR)","HSLMDS [k=29] [kQuality=32] (NLDR)","HSLMDS (NLDR)",29,NA,0.72,0.44,1,NA,1.543,0.8,NA,NA,NA,NA,NA,26,17.239,0.663,0.364
"HSLMDS [k=3] (rNLDR)","HSLMDS [k=3] (rNLDR)","HSLMDS (rNLDR)",3,NA,0.68,0.36,1,NA,56.333,0.72,NA,NA,NA,NA,NA,12,6.034,0.503,0.365
"HSLMDS [k=3] [kQuality=1] (NLDR)","HSLMDS [k=3] [kQuality=1] (NLDR)","HSLMDS (NLDR)",3,NA,0.69,0.38,1,NA,0.845,0.8,NA,NA,NA,NA,NA,13,6.761,0.52,0.371
"HSLMDS [k=3] [kQuality=2] (NLDR)","HSLMDS [k=3] [kQuality=2] (NLDR)","HSLMDS (NLDR)",3,NA,0.68,0.35,1,NA,1.7,0.6,NA,NA,NA,NA,NA,8,3.557,0.445,0.353
"HSLMDS [k=3] [kQuality=3] (NLDR)","HSLMDS [k=3] [kQuality=3] (NLDR)","HSLMDS (NLDR)",3,NA,0.68,0.36,1,NA,2.95,0.72,NA,NA,NA,NA,NA,13,6.636,0.51,0.361
"HSLMDS [k=3] [kQuality=4] (NLDR)","HSLMDS [k=3] [kQuality=4] (NLDR)","HSLMDS (NLDR)",3,NA,0.68,0.35,1,NA,2.057,0.6,NA,NA,NA,NA,NA,8,3.557,0.445,0.353
"HSLMDS [k=3] [kQuality=5] (NLDR)","HSLMDS [k=3] [kQuality=5] (NLDR)","HSLMDS (NLDR)",3,NA,0.68,0.35,1,NA,2.061,0.6,NA,NA,NA,NA,NA,8,3.557,0.445,0.353
"HSLMDS [k=3] [kQuality=6] (NLDR)","HSLMDS [k=3] [kQuality=6] (NLDR)","HSLMDS (NLDR)",3,NA,0.68,0.35,1,NA,1.652,0.6,NA,NA,NA,NA,NA,8,3.557,0.445,0.353
"HSLMDS [k=32] (rNLDR)","HSLMDS [k=32] (rNLDR)","HSLMDS (rNLDR)",32,NA,0.77,0.54,1,NA,57.695,0.84,NA,NA,NA,NA,NA,26,18.693,0.719,0.42
"HSLMDS [k=32] [kQuality=29] (NLDR)","HSLMDS [k=32] [kQuality=29] (NLDR)","HSLMDS (NLDR)",32,NA,0.75,0.49,1,NA,0.607,0.8,NA,NA,NA,NA,NA,27,18.932,0.701,0.391
"HSLMDS [k=32] [kQuality=30] (NLDR)","HSLMDS [k=32] [kQuality=30] (NLDR)","HSLMDS (NLDR)",32,NA,0.75,0.49,1,NA,0.603,0.8,NA,NA,NA,NA,NA,27,18.932,0.701,0.391
"HSLMDS [k=32] [kQuality=31] (NLDR)","HSLMDS [k=32] [kQuality=31] (NLDR)","HSLMDS (NLDR)",32,NA,0.75,0.49,1,NA,0.624,0.8,NA,NA,NA,NA,NA,27,18.932,0.701,0.391
"HSLMDS [k=32] [kQuality=32] (NLDR)","HSLMDS [k=32] [kQuality=32] (NLDR)","HSLMDS (NLDR)",32,NA,0.75,0.49,1,NA,0.624,0.8,NA,NA,NA,NA,NA,27,18.932,0.701,0.391
"HSLMDS [k=32] [kQuality=33] (NLDR)","HSLMDS [k=32] [kQuality=33] (NLDR)","HSLMDS (NLDR)",32,NA,0.75,0.49,1,NA,0.633,0.8,NA,NA,NA,NA,NA,27,18.932,0.701,0.391
"HSLMDS [k=32] [kQuality=34] (NLDR)","HSLMDS [k=32] [kQuality=34] (NLDR)","HSLMDS (NLDR)",32,NA,0.75,0.49,1,NA,0.626,0.8,NA,NA,NA,NA,NA,27,18.932,0.701,0.391
"HSLMDS [k=32] [kQuality=35] (NLDR)","HSLMDS [k=32] [kQuality=35] (NLDR)","HSLMDS (NLDR)",32,NA,0.75,0.49,1,NA,0.625,0.8,NA,NA,NA,NA,NA,27,18.932,0.701,0.391
"HSLMDS [k=35] (rNLDR)","HSLMDS [k=35] (rNLDR)","HSLMDS (rNLDR)",35,NA,0.78,0.55,1,NA,62.86,0.84,NA,NA,NA,NA,NA,24,16.693,0.696,0.42
"HSLMDS [k=35] [kQuality=32] (NLDR)","HSLMDS [k=35] [kQuality=32] (NLDR)","HSLMDS (NLDR)",35,NA,0.77,0.53,1,NA,0.678,0.76,NA,NA,NA,NA,NA,26,18.466,0.71,0.411
"HSLMDS [k=35] [kQuality=33] (NLDR)","HSLMDS [k=35] [kQuality=33] (NLDR)","HSLMDS (NLDR)",35,NA,0.77,0.53,1,NA,0.674,0.76,NA,NA,NA,NA,NA,26,18.466,0.71,0.411
"HSLMDS [k=35] [kQuality=34] (NLDR)","HSLMDS [k=35] [kQuality=34] (NLDR)","HSLMDS (NLDR)",35,NA,0.77,0.53,1,NA,0.675,0.76,NA,NA,NA,NA,NA,26,18.466,0.71,0.411
"HSLMDS [k=35] [kQuality=35] (NLDR)","HSLMDS [k=35] [kQuality=35] (NLDR)","HSLMDS (NLDR)",35,NA,0.77,0.53,1,NA,0.674,0.76,NA,NA,NA,NA,NA,26,18.466,0.71,0.411
"HSLMDS [k=35] [kQuality=36] (NLDR)","HSLMDS [k=35] [kQuality=36] (NLDR)","HSLMDS (NLDR)",35,NA,0.77,0.53,1,NA,0.674,0.76,NA,NA,NA,NA,NA,26,18.466,0.71,0.411
"HSLMDS [k=35] [kQuality=37] (NLDR)","HSLMDS [k=35] [kQuality=37] (NLDR)","HSLMDS (NLDR)",35,NA,0.76,0.52,1,NA,0.636,0.76,NA,NA,NA,NA,NA,26,18.375,0.707,0.408
"HSLMDS [k=35] [kQuality=38] (NLDR)","HSLMDS [k=35] [kQuality=38] (NLDR)","HSLMDS (NLDR)",35,NA,0.76,0.52,1,NA,0.739,0.88,NA,NA,NA,NA,NA,24,16.432,0.685,0.409
"HSLMDS [k=38] (rNLDR)","HSLMDS [k=38] (rNLDR)","HSLMDS (rNLDR)",38,NA,0.78,0.55,1,NA,57.085,0.76,NA,NA,NA,NA,NA,27,19.716,0.73,0.42
"HSLMDS [k=38] [kQuality=35] (NLDR)","HSLMDS [k=38] [kQuality=35] (NLDR)","HSLMDS (NLDR)",38,NA,0.74,0.47,1,NA,0.936,0.84,NA,NA,NA,NA,NA,24,15.534,0.647,0.371
"HSLMDS [k=38] [kQuality=36] (NLDR)","HSLMDS [k=38] [kQuality=36] (NLDR)","HSLMDS (NLDR)",38,NA,0.74,0.47,1,NA,1.953,0.84,NA,NA,NA,NA,NA,24,15.523,0.647,0.371
"HSLMDS [k=38] [kQuality=37] (NLDR)","HSLMDS [k=38] [kQuality=37] (NLDR)","HSLMDS (NLDR)",38,NA,0.74,0.47,1,NA,0.939,0.84,NA,NA,NA,NA,NA,24,15.534,0.647,0.371
"HSLMDS [k=38] [kQuality=38] (NLDR)","HSLMDS [k=38] [kQuality=38] (NLDR)","HSLMDS (NLDR)",38,NA,0.74,0.47,1,NA,1.155,0.84,NA,NA,NA,NA,NA,24,15.523,0.647,0.371
"HSLMDS [k=38] [kQuality=39] (NLDR)","HSLMDS [k=38] [kQuality=39] (NLDR)","HSLMDS (NLDR)",38,NA,0.74,0.47,1,NA,1.97,0.84,NA,NA,NA,NA,NA,24,15.523,0.647,0.371
"HSLMDS [k=38] [kQuality=40] (NLDR)","HSLMDS [k=38] [kQuality=40] (NLDR)","HSLMDS (NLDR)",38,NA,0.74,0.47,1,NA,1.919,0.84,NA,NA,NA,NA,NA,24,15.523,0.647,0.371
"HSLMDS [k=38] [kQuality=41] (NLDR)","HSLMDS [k=38] [kQuality=41] (NLDR)","HSLMDS (NLDR)",38,NA,0.74,0.47,1,NA,0.938,0.84,NA,NA,NA,NA,NA,24,15.534,0.647,0.371
"HSLMDS [k=41] (rNLDR)","HSLMDS [k=41] (rNLDR)","HSLMDS (rNLDR)",41,NA,0.77,0.54,1,NA,65.293,0.8,NA,NA,NA,NA,NA,24,16.5,0.688,0.412
"HSLMDS [k=41] [kQuality=38] (NLDR)","HSLMDS [k=41] [kQuality=38] (NLDR)","HSLMDS (NLDR)",41,NA,0.74,0.46,1,NA,0.641,0.68,NA,NA,NA,NA,NA,27,18.159,0.673,0.362
"HSLMDS [k=41] [kQuality=39] (NLDR)","HSLMDS [k=41] [kQuality=39] (NLDR)","HSLMDS (NLDR)",41,NA,0.74,0.46,1,NA,0.64,0.68,NA,NA,NA,NA,NA,27,18.159,0.673,0.362
"HSLMDS [k=41] [kQuality=40] (NLDR)","HSLMDS [k=41] [kQuality=40] (NLDR)","HSLMDS (NLDR)",41,NA,0.74,0.46,1,NA,0.64,0.68,NA,NA,NA,NA,NA,27,18.159,0.673,0.362
"HSLMDS [k=41] [kQuality=41] (NLDR)","HSLMDS [k=41] [kQuality=41] (NLDR)","HSLMDS (NLDR)",41,NA,0.74,0.46,1,NA,0.628,0.68,NA,NA,NA,NA,NA,27,18.159,0.673,0.362
"HSLMDS [k=41] [kQuality=42] (NLDR)","HSLMDS [k=41] [kQuality=42] (NLDR)","HSLMDS (NLDR)",41,NA,0.74,0.47,1,NA,1.123,0.8,NA,NA,NA,NA,NA,26,17.386,0.669,0.37
"HSLMDS [k=41] [kQuality=43] (NLDR)","HSLMDS [k=41] [kQuality=43] (NLDR)","HSLMDS (NLDR)",41,NA,0.74,0.46,1,NA,0.642,0.68,NA,NA,NA,NA,NA,27,18.159,0.673,0.362
"HSLMDS [k=41] [kQuality=44] (NLDR)","HSLMDS [k=41] [kQuality=44] (NLDR)","HSLMDS (NLDR)",41,NA,0.74,0.47,1,NA,1.119,0.8,NA,NA,NA,NA,NA,26,17.386,0.669,0.37
"HSLMDS [k=44] (rNLDR)","HSLMDS [k=44] (rNLDR)","HSLMDS (rNLDR)",44,NA,0.77,0.54,1,NA,84.848,0.8,NA,NA,NA,NA,NA,27,19.443,0.72,0.41
"HSLMDS [k=44] [kQuality=41] (NLDR)","HSLMDS [k=44] [kQuality=41] (NLDR)","HSLMDS (NLDR)",44,NA,0.74,0.48,1,NA,1.032,0.68,NA,NA,NA,NA,NA,19,11.114,0.585,0.367
"HSLMDS [k=44] [kQuality=42] (NLDR)","HSLMDS [k=44] [kQuality=42] (NLDR)","HSLMDS (NLDR)",44,NA,0.74,0.48,1,NA,1.062,0.68,NA,NA,NA,NA,NA,19,11.114,0.585,0.367
"HSLMDS [k=44] [kQuality=43] (NLDR)","HSLMDS [k=44] [kQuality=43] (NLDR)","HSLMDS (NLDR)",44,NA,0.74,0.48,1,NA,1.082,0.68,NA,NA,NA,NA,NA,19,11.114,0.585,0.367
"HSLMDS [k=44] [kQuality=44] (NLDR)","HSLMDS [k=44] [kQuality=44] (NLDR)","HSLMDS (NLDR)",44,NA,0.77,0.54,1,NA,0.736,0.8,NA,NA,NA,NA,NA,27,19.568,0.725,0.414
"HSLMDS [k=44] [kQuality=45] (NLDR)","HSLMDS [k=44] [kQuality=45] (NLDR)","HSLMDS (NLDR)",44,NA,0.74,0.48,1,NA,1.081,0.68,NA,NA,NA,NA,NA,19,11.114,0.585,0.367
"HSLMDS [k=44] [kQuality=46] (NLDR)","HSLMDS [k=44] [kQuality=46] (NLDR)","HSLMDS (NLDR)",44,NA,0.74,0.48,1,NA,3.826,0.64,NA,NA,NA,NA,NA,20,11.92,0.596,0.366
"HSLMDS [k=44] [kQuality=47] (NLDR)","HSLMDS [k=44] [kQuality=47] (NLDR)","HSLMDS (NLDR)",44,NA,0.77,0.54,1,NA,0.718,0.8,NA,NA,NA,NA,NA,27,19.568,0.725,0.414
"HSLMDS [k=46] (rNLDR)","HSLMDS [k=46] (rNLDR)","HSLMDS (rNLDR)",46,NA,0.77,0.54,1,NA,55.775,0.8,NA,NA,NA,NA,NA,27,19.386,0.718,0.408
"HSLMDS [k=46] [kQuality=43] (NLDR)","HSLMDS [k=46] [kQuality=43] (NLDR)","HSLMDS (NLDR)",46,NA,0.75,0.48,1,NA,0.737,0.76,NA,NA,NA,NA,NA,24,15.443,0.643,0.368
"HSLMDS [k=46] [kQuality=44] (NLDR)","HSLMDS [k=46] [kQuality=44] (NLDR)","HSLMDS (NLDR)",46,NA,0.75,0.48,1,NA,0.737,0.76,NA,NA,NA,NA,NA,24,15.443,0.643,0.368
"HSLMDS [k=46] [kQuality=45] (NLDR)","HSLMDS [k=46] [kQuality=45] (NLDR)","HSLMDS (NLDR)",46,NA,0.75,0.48,1,NA,0.729,0.76,NA,NA,NA,NA,NA,24,15.443,0.643,0.368
"HSLMDS [k=46] [kQuality=46] (NLDR)","HSLMDS [k=46] [kQuality=46] (NLDR)","HSLMDS (NLDR)",46,NA,0.74,0.48,1,NA,11.74,0.76,NA,NA,NA,NA,NA,30,21.284,0.709,0.365
"HSLMDS [k=46] [kQuality=47] (NLDR)","HSLMDS [k=46] [kQuality=47] (NLDR)","HSLMDS (NLDR)",46,NA,0.74,0.48,1,NA,11.724,0.76,NA,NA,NA,NA,NA,30,21.284,0.709,0.365
"HSLMDS [k=46] [kQuality=48] (NLDR)","HSLMDS [k=46] [kQuality=48] (NLDR)","HSLMDS (NLDR)",46,NA,0.75,0.48,1,NA,0.735,0.76,NA,NA,NA,NA,NA,24,15.443,0.643,0.368
"HSLMDS [k=46] [kQuality=49] (NLDR)","HSLMDS [k=46] [kQuality=49] (NLDR)","HSLMDS (NLDR)",46,NA,0.74,0.48,1,NA,2.241,0.76,NA,NA,NA,NA,NA,20,11.92,0.596,0.366
"HSLMDS [k=49] (rNLDR)","HSLMDS [k=49] (rNLDR)","HSLMDS (rNLDR)",49,NA,0.78,0.55,1,NA,56.602,0.84,NA,NA,NA,NA,NA,30,22.693,0.756,0.412
"HSLMDS [k=49] [kQuality=46] (NLDR)","HSLMDS [k=49] [kQuality=46] (NLDR)","HSLMDS (NLDR)",49,NA,0.74,0.47,1,NA,0.643,0.8,NA,NA,NA,NA,NA,21,12.398,0.59,0.349
