"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.7,0.4,3,0,0.487,0.88,NA,NA,NA,NA,NA,30,18.568,0.619,0.274
"DRR","DRR","DRR",NA,NA,0.62,0.24,3,0,3.074,0.8,NA,NA,NA,NA,NA,27,13.273,0.492,0.181
"HSLMDS [k=12] (rNLDR)","HSLMDS [k=12] (rNLDR)","HSLMDS (rNLDR)",12,NA,0.74,0.48,1,NA,64.667,0.84,NA,NA,NA,NA,NA,15,8.727,0.582,0.409
"HSLMDS [k=12] [kQuality=10] (NLDR)","HSLMDS [k=12] [kQuality=10] (NLDR)","HSLMDS (NLDR)",12,NA,0.68,0.35,1,NA,0.975,0.84,NA,NA,NA,NA,NA,15,7.591,0.506,0.334
"HSLMDS [k=12] [kQuality=11] (NLDR)","HSLMDS [k=12] [kQuality=11] (NLDR)","HSLMDS (NLDR)",12,NA,0.68,0.35,1,NA,0.96,0.84,NA,NA,NA,NA,NA,15,7.591,0.506,0.334
"HSLMDS [k=12] [kQuality=12] (NLDR)","HSLMDS [k=12] [kQuality=12] (NLDR)","HSLMDS (NLDR)",12,NA,0.68,0.35,1,NA,0.963,0.84,NA,NA,NA,NA,NA,15,7.591,0.506,0.334
"HSLMDS [k=12] [kQuality=13] (NLDR)","HSLMDS [k=12] [kQuality=13] (NLDR)","HSLMDS (NLDR)",12,NA,0.68,0.35,1,NA,0.962,0.84,NA,NA,NA,NA,NA,15,7.591,0.506,0.334
"HSLMDS [k=12] [kQuality=14] (NLDR)","HSLMDS [k=12] [kQuality=14] (NLDR)","HSLMDS (NLDR)",12,NA,0.68,0.35,1,NA,0.962,0.84,NA,NA,NA,NA,NA,15,7.591,0.506,0.334
"HSLMDS [k=12] [kQuality=15] (NLDR)","HSLMDS [k=12] [kQuality=15] (NLDR)","HSLMDS (NLDR)",12,NA,0.72,0.44,1,NA,0.632,0.84,NA,NA,NA,NA,NA,16,9.25,0.578,0.394
"HSLMDS [k=12] [kQuality=9] (NLDR)","HSLMDS [k=12] [kQuality=9] (NLDR)","HSLMDS (NLDR)",12,NA,0.68,0.35,1,NA,0.62,0.84,NA,NA,NA,NA,NA,15,7.591,0.506,0.334
"HSLMDS [k=15] (rNLDR)","HSLMDS [k=15] (rNLDR)","HSLMDS (rNLDR)",15,NA,0.73,0.46,1,NA,61.787,0.84,NA,NA,NA,NA,NA,16,9.273,0.58,0.396
"HSLMDS [k=15] [kQuality=12] (NLDR)","HSLMDS [k=15] [kQuality=12] (NLDR)","HSLMDS (NLDR)",15,NA,0.71,0.42,1,NA,0.61,0.84,NA,NA,NA,NA,NA,15,8.239,0.549,0.377
"HSLMDS [k=15] [kQuality=13] (NLDR)","HSLMDS [k=15] [kQuality=13] (NLDR)","HSLMDS (NLDR)",15,NA,0.71,0.42,1,NA,0.567,0.84,NA,NA,NA,NA,NA,16,8.977,0.561,0.377
"HSLMDS [k=15] [kQuality=14] (NLDR)","HSLMDS [k=15] [kQuality=14] (NLDR)","HSLMDS (NLDR)",15,NA,0.71,0.41,1,NA,11.551,0.8,NA,NA,NA,NA,NA,16,8.932,0.558,0.374
"HSLMDS [k=15] [kQuality=15] (NLDR)","HSLMDS [k=15] [kQuality=15] (NLDR)","HSLMDS (NLDR)",15,NA,0.71,0.42,1,NA,0.608,0.84,NA,NA,NA,NA,NA,15,8.239,0.549,0.377
"HSLMDS [k=15] [kQuality=16] (NLDR)","HSLMDS [k=15] [kQuality=16] (NLDR)","HSLMDS (NLDR)",15,NA,0.7,0.4,1,NA,0.594,0.84,NA,NA,NA,NA,NA,16,8.784,0.549,0.365
"HSLMDS [k=15] [kQuality=17] (NLDR)","HSLMDS [k=15] [kQuality=17] (NLDR)","HSLMDS (NLDR)",15,NA,0.7,0.4,1,NA,0.608,0.84,NA,NA,NA,NA,NA,16,8.784,0.549,0.365
"HSLMDS [k=15] [kQuality=18] (NLDR)","HSLMDS [k=15] [kQuality=18] (NLDR)","HSLMDS (NLDR)",15,NA,0.7,0.4,1,NA,0.587,0.84,NA,NA,NA,NA,NA,16,8.784,0.549,0.365
"HSLMDS [k=17] (rNLDR)","HSLMDS [k=17] (rNLDR)","HSLMDS (rNLDR)",17,NA,0.73,0.46,1,NA,57.701,0.88,NA,NA,NA,NA,NA,17,10.045,0.591,0.396
"HSLMDS [k=17] [kQuality=14] (NLDR)","HSLMDS [k=17] [kQuality=14] (NLDR)","HSLMDS (NLDR)",17,NA,0.71,0.42,1,NA,0.554,0.8,NA,NA,NA,NA,NA,17,9.716,0.572,0.376
