"","id","k","Agr","ER(Agr)","AdjNum","AdjDenom","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted","AgrAdj"
"1","DRR",1,0.103448275862069,0.0357142857142857,0.0677339901477833,0.964285714285714,"DRR",NA,NA,0.59,0.16,3,0.026,2.826,0.375,NA,NA,NA,NA,NA,12,6.69,0.557,0.129,0.0677339901477833
"2","DRR",2,0.155172413793103,0.0714285714285714,0.083743842364532,0.928571428571429,"DRR",NA,NA,0.59,0.16,3,0.026,2.826,0.375,NA,NA,NA,NA,NA,12,6.69,0.557,0.129,0.083743842364532
"3","DRR",3,0.218390804597701,0.107142857142857,0.111247947454844,0.892857142857143,"DRR",NA,NA,0.59,0.16,3,0.026,2.826,0.375,NA,NA,NA,NA,NA,12,6.69,0.557,0.129,0.111247947454844
"4","DRR",4,0.25,0.142857142857143,0.107142857142857,0.857142857142857,"DRR",NA,NA,0.59,0.16,3,0.026,2.826,0.375,NA,NA,NA,NA,NA,12,6.69,0.557,0.129,0.107142857142857
"5","DRR",5,0.255172413793103,0.178571428571429,0.0766009852216749,0.821428571428571,"DRR",NA,NA,0.59,0.16,3,0.026,2.826,0.375,NA,NA,NA,NA,NA,12,6.69,0.557,0.129,0.0766009852216749
"6","DRR",6,0.293103448275862,0.214285714285714,0.0788177339901478,0.785714285714286,"DRR",NA,NA,0.59,0.16,3,0.026,2.826,0.375,NA,NA,NA,NA,NA,12,6.69,0.557,0.129,0.0788177339901478
"7","DRR",7,0.330049261083744,0.25,0.0800492610837438,0.75,"DRR",NA,NA,0.59,0.16,3,0.026,2.826,0.375,NA,NA,NA,NA,NA,12,6.69,0.557,0.129,0.0800492610837438
"8","DRR",8,0.357758620689655,0.285714285714286,0.0720443349753695,0.714285714285714,"DRR",NA,NA,0.59,0.16,3,0.026,2.826,0.375,NA,NA,NA,NA,NA,12,6.69,0.557,0.129,0.0720443349753695
"9","DRR",9,0.398467432950192,0.321428571428571,0.0770388615216201,0.678571428571429,"DRR",NA,NA,0.59,0.16,3,0.026,2.826,0.375,NA,NA,NA,NA,NA,12,6.69,0.557,0.129,0.0770388615216201
"10","DRR",10,0.468965517241379,0.357142857142857,0.111822660098522,0.642857142857143,"DRR",NA,NA,0.59,0.16,3,0.026,2.826,0.375,NA,NA,NA,NA,NA,12,6.69,0.557,0.129,0.111822660098522
