"","id","k","Agr","ER(Agr)","AdjNum","AdjDenom","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted","AgrAdj"
"1","DRR",1,0.0689655172413793,0.0357142857142857,0.0332512315270936,0.964285714285714,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.0332512315270936
"2","DRR",2,0.137931034482759,0.0714285714285714,0.0665024630541872,0.928571428571429,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.0665024630541872
"3","DRR",3,0.206896551724138,0.107142857142857,0.0997536945812808,0.892857142857143,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.0997536945812808
"4","DRR",4,0.224137931034483,0.142857142857143,0.0812807881773399,0.857142857142857,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.0812807881773399
"5","DRR",5,0.262068965517241,0.178571428571429,0.0834975369458128,0.821428571428571,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.0834975369458128
"6","DRR",6,0.298850574712644,0.214285714285714,0.0845648604269294,0.785714285714286,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.0845648604269294
"7","DRR",7,0.354679802955665,0.25,0.104679802955665,0.75,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.104679802955665
"8","DRR",8,0.396551724137931,0.285714285714286,0.110837438423645,0.714285714285714,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.110837438423645
"9","DRR",9,0.42911877394636,0.321428571428571,0.107690202517789,0.678571428571429,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.107690202517789
"10","DRR",10,0.479310344827586,0.357142857142857,0.122167487684729,0.642857142857143,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.122167487684729
"11","DRR",11,0.523510971786834,0.392857142857143,0.130653828929691,0.607142857142857,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.130653828929691
"12","DRR",12,0.574712643678161,0.428571428571429,0.146141215106732,0.571428571428571,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.146141215106732
"13","DRR",13,0.575596816976127,0.464285714285714,0.111311102690413,0.535714285714286,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.111311102690413
"14","DRR",14,0.586206896551724,0.5,0.0862068965517241,0.5,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.0862068965517241
"15","DRR",15,0.627586206896552,0.535714285714286,0.0918719211822661,0.464285714285714,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.0918719211822661
"16","DRR",16,0.648706896551724,0.571428571428571,0.0772783251231527,0.428571428571429,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.0772783251231527
"17","DRR",17,0.693711967545639,0.607142857142857,0.0865691104027818,0.392857142857143,"DRR",NA,NA,0.6,0.16,3,0.028,2.816,0.5,NA,NA,NA,NA,NA,12,6.897,0.575,0.146,0.0865691104027818
