"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"HSLMDS [k=11] [kQuality=12] (NLDR)","HSLMDS [k=11] [kQuality=12] (NLDR)","HSLMDS (NLDR)",11,NA,0.71,0.39,1,NA,0.094,0.5,NA,NA,NA,NA,NA,11,8.103,0.737,0.344
"HSLMDS [k=11] [kQuality=13] (NLDR)","HSLMDS [k=11] [kQuality=13] (NLDR)","HSLMDS (NLDR)",11,NA,0.71,0.4,1,NA,0.089,0.5,NA,NA,NA,NA,NA,11,8.172,0.743,0.35
"HSLMDS [k=11] [kQuality=14] (NLDR)","HSLMDS [k=11] [kQuality=14] (NLDR)","HSLMDS (NLDR)",11,NA,0.71,0.4,1,NA,0.09,0.5,NA,NA,NA,NA,NA,11,8.172,0.743,0.35
"HSLMDS [k=11] [kQuality=8] (NLDR)","HSLMDS [k=11] [kQuality=8] (NLDR)","HSLMDS (NLDR)",11,NA,0.71,0.4,1,NA,0.072,0.5,NA,NA,NA,NA,NA,11,8.172,0.743,0.35
"HSLMDS [k=11] [kQuality=9] (NLDR)","HSLMDS [k=11] [kQuality=9] (NLDR)","HSLMDS (NLDR)",11,NA,0.71,0.4,1,NA,0.072,0.5,NA,NA,NA,NA,NA,11,8.172,0.743,0.35
"HSLMDS [k=12] (rNLDR)","HSLMDS [k=12] (rNLDR)","HSLMDS (rNLDR)",12,NA,0.72,0.42,1,NA,5.503,0.5,NA,NA,NA,NA,NA,10,7,0.7,0.343
"HSLMDS [k=12] [kQuality=10] (NLDR)","HSLMDS [k=12] [kQuality=10] (NLDR)","HSLMDS (NLDR)",12,NA,0.72,0.42,1,NA,0.076,0.5,NA,NA,NA,NA,NA,10,7,0.7,0.343
"HSLMDS [k=12] [kQuality=11] (NLDR)","HSLMDS [k=12] [kQuality=11] (NLDR)","HSLMDS (NLDR)",12,NA,0.72,0.42,1,NA,0.076,0.5,NA,NA,NA,NA,NA,10,7,0.7,0.343
"HSLMDS [k=12] [kQuality=12] (NLDR)","HSLMDS [k=12] [kQuality=12] (NLDR)","HSLMDS (NLDR)",12,NA,0.72,0.42,1,NA,0.075,0.5,NA,NA,NA,NA,NA,10,7,0.7,0.343
"HSLMDS [k=12] [kQuality=13] (NLDR)","HSLMDS [k=12] [kQuality=13] (NLDR)","HSLMDS (NLDR)",12,NA,0.72,0.42,1,NA,0.19,0.5,NA,NA,NA,NA,NA,10,7,0.7,0.343
"HSLMDS [k=12] [kQuality=14] (NLDR)","HSLMDS [k=12] [kQuality=14] (NLDR)","HSLMDS (NLDR)",12,NA,0.72,0.42,1,NA,1.221,0.5,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=12] [kQuality=15] (NLDR)","HSLMDS [k=12] [kQuality=15] (NLDR)","HSLMDS (NLDR)",12,NA,0.72,0.42,1,NA,0.077,0.5,NA,NA,NA,NA,NA,10,7,0.7,0.343
"HSLMDS [k=12] [kQuality=9] (NLDR)","HSLMDS [k=12] [kQuality=9] (NLDR)","HSLMDS (NLDR)",12,NA,0.72,0.42,1,NA,0.077,0.5,NA,NA,NA,NA,NA,10,7,0.7,0.343
"HSLMDS [k=13] (rNLDR)","HSLMDS [k=13] (rNLDR)","HSLMDS (rNLDR)",13,NA,0.71,0.41,1,NA,5.645,0.625,NA,NA,NA,NA,NA,12,9.069,0.756,0.327
"HSLMDS [k=13] [kQuality=10] (NLDR)","HSLMDS [k=13] [kQuality=10] (NLDR)","HSLMDS (NLDR)",13,NA,0.72,0.41,1,NA,0.123,0.375,NA,NA,NA,NA,NA,10,6.897,0.69,0.333
"HSLMDS [k=13] [kQuality=11] (NLDR)","HSLMDS [k=13] [kQuality=11] (NLDR)","HSLMDS (NLDR)",13,NA,0.72,0.41,1,NA,0.081,0.375,NA,NA,NA,NA,NA,10,6.862,0.686,0.329
"HSLMDS [k=13] [kQuality=12] (NLDR)","HSLMDS [k=13] [kQuality=12] (NLDR)","HSLMDS (NLDR)",13,NA,0.72,0.41,1,NA,0.085,0.625,NA,NA,NA,NA,NA,12,9.103,0.759,0.33
"HSLMDS [k=13] [kQuality=13] (NLDR)","HSLMDS [k=13] [kQuality=13] (NLDR)","HSLMDS (NLDR)",13,NA,0.71,0.4,1,NA,0.125,0.625,NA,NA,NA,NA,NA,12,9.069,0.756,0.327
"HSLMDS [k=13] [kQuality=14] (NLDR)","HSLMDS [k=13] [kQuality=14] (NLDR)","HSLMDS (NLDR)",13,NA,0.71,0.4,1,NA,0.125,0.625,NA,NA,NA,NA,NA,12,9.069,0.756,0.327
"HSLMDS [k=13] [kQuality=15] (NLDR)","HSLMDS [k=13] [kQuality=15] (NLDR)","HSLMDS (NLDR)",13,NA,0.71,0.4,1,NA,0.124,0.625,NA,NA,NA,NA,NA,12,9.069,0.756,0.327
"HSLMDS [k=13] [kQuality=16] (NLDR)","HSLMDS [k=13] [kQuality=16] (NLDR)","HSLMDS (NLDR)",13,NA,0.72,0.41,1,NA,0.08,0.375,NA,NA,NA,NA,NA,10,6.862,0.686,0.329
"HSLMDS [k=14] (rNLDR)","HSLMDS [k=14] (rNLDR)","HSLMDS (rNLDR)",14,NA,0.71,0.4,1,NA,5.644,0.625,NA,NA,NA,NA,NA,11,8.069,0.734,0.341
"HSLMDS [k=14] [kQuality=11] (NLDR)","HSLMDS [k=14] [kQuality=11] (NLDR)","HSLMDS (NLDR)",14,NA,0.71,0.4,1,NA,0.086,0.625,NA,NA,NA,NA,NA,11,8.103,0.737,0.344
"HSLMDS [k=14] [kQuality=12] (NLDR)","HSLMDS [k=14] [kQuality=12] (NLDR)","HSLMDS (NLDR)",14,NA,0.71,0.4,1,NA,0.094,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=14] [kQuality=13] (NLDR)","HSLMDS [k=14] [kQuality=13] (NLDR)","HSLMDS (NLDR)",14,NA,0.71,0.4,1,NA,0.094,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=14] [kQuality=14] (NLDR)","HSLMDS [k=14] [kQuality=14] (NLDR)","HSLMDS (NLDR)",14,NA,0.71,0.4,1,NA,0.104,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=14] [kQuality=15] (NLDR)","HSLMDS [k=14] [kQuality=15] (NLDR)","HSLMDS (NLDR)",14,NA,0.71,0.4,1,NA,0.096,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=14] [kQuality=16] (NLDR)","HSLMDS [k=14] [kQuality=16] (NLDR)","HSLMDS (NLDR)",14,NA,0.71,0.4,1,NA,0.086,0.625,NA,NA,NA,NA,NA,11,8.103,0.737,0.344
"HSLMDS [k=14] [kQuality=17] (NLDR)","HSLMDS [k=14] [kQuality=17] (NLDR)","HSLMDS (NLDR)",14,NA,0.71,0.4,1,NA,0.095,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=15] (rNLDR)","HSLMDS [k=15] (rNLDR)","HSLMDS (rNLDR)",15,NA,0.72,0.43,1,NA,5.054,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=15] [kQuality=12] (NLDR)","HSLMDS [k=15] [kQuality=12] (NLDR)","HSLMDS (NLDR)",15,NA,0.73,0.43,1,NA,0.071,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=15] [kQuality=13] (NLDR)","HSLMDS [k=15] [kQuality=13] (NLDR)","HSLMDS (NLDR)",15,NA,0.73,0.43,1,NA,0.074,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=15] [kQuality=14] (NLDR)","HSLMDS [k=15] [kQuality=14] (NLDR)","HSLMDS (NLDR)",15,NA,0.73,0.43,1,NA,0.063,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=15] [kQuality=15] (NLDR)","HSLMDS [k=15] [kQuality=15] (NLDR)","HSLMDS (NLDR)",15,NA,0.73,0.43,1,NA,0.073,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=15] [kQuality=16] (NLDR)","HSLMDS [k=15] [kQuality=16] (NLDR)","HSLMDS (NLDR)",15,NA,0.73,0.43,1,NA,0.073,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=15] [kQuality=17] (NLDR)","HSLMDS [k=15] [kQuality=17] (NLDR)","HSLMDS (NLDR)",15,NA,0.73,0.43,1,NA,0.058,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=15] [kQuality=18] (NLDR)","HSLMDS [k=15] [kQuality=18] (NLDR)","HSLMDS (NLDR)",15,NA,0.73,0.43,1,NA,0.058,0.625,NA,NA,NA,NA,NA,11,8.034,0.73,0.338
"HSLMDS [k=16] (rNLDR)","HSLMDS [k=16] (rNLDR)","HSLMDS (rNLDR)",16,NA,0.73,0.43,1,NA,5.74,0.75,NA,NA,NA,NA,NA,8,4.966,0.621,0.335
"HSLMDS [k=16] [kQuality=13] (NLDR)","HSLMDS [k=16] [kQuality=13] (NLDR)","HSLMDS (NLDR)",16,NA,0.72,0.42,1,NA,0.12,0.75,NA,NA,NA,NA,NA,12,9.241,0.77,0.342
"HSLMDS [k=16] [kQuality=14] (NLDR)","HSLMDS [k=16] [kQuality=14] (NLDR)","HSLMDS (NLDR)",16,NA,0.72,0.42,1,NA,0.12,0.75,NA,NA,NA,NA,NA,12,9.241,0.77,0.342
"HSLMDS [k=16] [kQuality=15] (NLDR)","HSLMDS [k=16] [kQuality=15] (NLDR)","HSLMDS (NLDR)",16,NA,0.72,0.41,1,NA,0.192,0.75,NA,NA,NA,NA,NA,12,9.172,0.764,0.336
"HSLMDS [k=16] [kQuality=16] (NLDR)","HSLMDS [k=16] [kQuality=16] (NLDR)","HSLMDS (NLDR)",16,NA,0.72,0.42,1,NA,0.121,0.75,NA,NA,NA,NA,NA,12,9.241,0.77,0.342
"HSLMDS [k=16] [kQuality=17] (NLDR)","HSLMDS [k=16] [kQuality=17] (NLDR)","HSLMDS (NLDR)",16,NA,0.72,0.43,1,NA,0.102,0.75,NA,NA,NA,NA,NA,12,9.172,0.764,0.336
"HSLMDS [k=16] [kQuality=18] (NLDR)","HSLMDS [k=16] [kQuality=18] (NLDR)","HSLMDS (NLDR)",16,NA,0.72,0.43,1,NA,0.103,0.75,NA,NA,NA,NA,NA,12,9.207,0.767,0.339
"HSLMDS [k=16] [kQuality=19] (NLDR)","HSLMDS [k=16] [kQuality=19] (NLDR)","HSLMDS (NLDR)",16,NA,0.72,0.42,1,NA,0.121,0.75,NA,NA,NA,NA,NA,12,9.172,0.764,0.336
"HSLMDS [k=17] (rNLDR)","HSLMDS [k=17] (rNLDR)","HSLMDS (rNLDR)",17,NA,0.72,0.42,1,NA,6.111,0.75,NA,NA,NA,NA,NA,12,8.966,0.747,0.319
"HSLMDS [k=17] [kQuality=14] (NLDR)","HSLMDS [k=17] [kQuality=14] (NLDR)","HSLMDS (NLDR)",17,NA,0.72,0.43,1,NA,0.078,0.75,NA,NA,NA,NA,NA,12,8.897,0.741,0.313
"HSLMDS [k=17] [kQuality=15] (NLDR)","HSLMDS [k=17] [kQuality=15] (NLDR)","HSLMDS (NLDR)",17,NA,0.72,0.43,1,NA,0.08,0.75,NA,NA,NA,NA,NA,12,8.897,0.741,0.313
"HSLMDS [k=17] [kQuality=16] (NLDR)","HSLMDS [k=17] [kQuality=16] (NLDR)","HSLMDS (NLDR)",17,NA,0.72,0.43,1,NA,0.079,0.75,NA,NA,NA,NA,NA,12,8.897,0.741,0.313
"HSLMDS [k=17] [kQuality=17] (NLDR)","HSLMDS [k=17] [kQuality=17] (NLDR)","HSLMDS (NLDR)",17,NA,0.72,0.43,1,NA,0.104,0.625,NA,NA,NA,NA,NA,12,8.966,0.747,0.319
"HSLMDS [k=17] [kQuality=18] (NLDR)","HSLMDS [k=17] [kQuality=18] (NLDR)","HSLMDS (NLDR)",17,NA,0.72,0.43,1,NA,0.107,0.75,NA,NA,NA,NA,NA,12,8.931,0.744,0.316
"HSLMDS [k=17] [kQuality=19] (NLDR)","HSLMDS [k=17] [kQuality=19] (NLDR)","HSLMDS (NLDR)",17,NA,0.72,0.43,1,NA,0.292,0.625,NA,NA,NA,NA,NA,12,9,0.75,0.321
"HSLMDS [k=17] [kQuality=20] (NLDR)","HSLMDS [k=17] [kQuality=20] (NLDR)","HSLMDS (NLDR)",17,NA,0.72,0.43,1,NA,0.105,0.625,NA,NA,NA,NA,NA,12,8.966,0.747,0.319
"HSLMDS [k=18] (rNLDR)","HSLMDS [k=18] (rNLDR)","HSLMDS (rNLDR)",18,NA,0.71,0.39,1,NA,5.376,0.75,NA,NA,NA,NA,NA,12,8.724,0.727,0.298
"HSLMDS [k=18] [kQuality=15] (NLDR)","HSLMDS [k=18] [kQuality=15] (NLDR)","HSLMDS (NLDR)",18,NA,0.72,0.41,1,NA,0.092,0.5,NA,NA,NA,NA,NA,10,6.724,0.672,0.315
"HSLMDS [k=18] [kQuality=16] (NLDR)","HSLMDS [k=18] [kQuality=16] (NLDR)","HSLMDS (NLDR)",18,NA,0.72,0.41,1,NA,0.086,0.5,NA,NA,NA,NA,NA,12,8.828,0.736,0.307
"HSLMDS [k=18] [kQuality=17] (NLDR)","HSLMDS [k=18] [kQuality=17] (NLDR)","HSLMDS (NLDR)",18,NA,0.72,0.41,1,NA,0.086,0.5,NA,NA,NA,NA,NA,12,8.897,0.741,0.313
"HSLMDS [k=18] [kQuality=18] (NLDR)","HSLMDS [k=18] [kQuality=18] (NLDR)","HSLMDS (NLDR)",18,NA,0.72,0.41,1,NA,0.104,0.5,NA,NA,NA,NA,NA,12,8.828,0.736,0.307
"HSLMDS [k=18] [kQuality=19] (NLDR)","HSLMDS [k=18] [kQuality=19] (NLDR)","HSLMDS (NLDR)",18,NA,0.72,0.42,1,NA,0.079,0.625,NA,NA,NA,NA,NA,10,6.897,0.69,0.333
"HSLMDS [k=18] [kQuality=20] (NLDR)","HSLMDS [k=18] [kQuality=20] (NLDR)","HSLMDS (NLDR)",18,NA,0.72,0.42,1,NA,0.075,0.625,NA,NA,NA,NA,NA,12,9.103,0.759,0.33
"HSLMDS [k=18] [kQuality=21] (NLDR)","HSLMDS [k=18] [kQuality=21] (NLDR)","HSLMDS (NLDR)",18,NA,0.72,0.41,1,NA,0.09,0.5,NA,NA,NA,NA,NA,10,6.724,0.672,0.315
"HSLMDS [k=19] (rNLDR)","HSLMDS [k=19] (rNLDR)","HSLMDS (rNLDR)",19,NA,0.71,0.39,1,NA,5.321,0.5,NA,NA,NA,NA,NA,11,7.828,0.712,0.319
"HSLMDS [k=19] [kQuality=16] (NLDR)","HSLMDS [k=19] [kQuality=16] (NLDR)","HSLMDS (NLDR)",19,NA,0.71,0.39,1,NA,0.108,0.625,NA,NA,NA,NA,NA,12,8.966,0.747,0.319
"HSLMDS [k=19] [kQuality=17] (NLDR)","HSLMDS [k=19] [kQuality=17] (NLDR)","HSLMDS (NLDR)",19,NA,0.71,0.39,1,NA,0.107,0.625,NA,NA,NA,NA,NA,12,8.966,0.747,0.319
"HSLMDS [k=19] [kQuality=18] (NLDR)","HSLMDS [k=19] [kQuality=18] (NLDR)","HSLMDS (NLDR)",19,NA,0.7,0.39,1,NA,0.108,0.625,NA,NA,NA,NA,NA,12,8.931,0.744,0.316
"HSLMDS [k=19] [kQuality=19] (NLDR)","HSLMDS [k=19] [kQuality=19] (NLDR)","HSLMDS (NLDR)",19,NA,0.71,0.39,1,NA,0.113,0.625,NA,NA,NA,NA,NA,12,9,0.75,0.321
"HSLMDS [k=19] [kQuality=20] (NLDR)","HSLMDS [k=19] [kQuality=20] (NLDR)","HSLMDS (NLDR)",19,NA,0.71,0.39,1,NA,0.107,0.625,NA,NA,NA,NA,NA,12,9.034,0.753,0.324
"HSLMDS [k=19] [kQuality=21] (NLDR)","HSLMDS [k=19] [kQuality=21] (NLDR)","HSLMDS (NLDR)",19,NA,0.71,0.39,1,NA,0.107,0.625,NA,NA,NA,NA,NA,12,9.034,0.753,0.324
"HSLMDS [k=19] [kQuality=22] (NLDR)","HSLMDS [k=19] [kQuality=22] (NLDR)","HSLMDS (NLDR)",19,NA,0.71,0.39,1,NA,0.116,0.625,NA,NA,NA,NA,NA,12,9,0.75,0.321
"HSLMDS [k=20] (rNLDR)","HSLMDS [k=20] (rNLDR)","HSLMDS (rNLDR)",20,NA,0.71,0.39,1,NA,5.385,0.625,NA,NA,NA,NA,NA,11,7.793,0.708,0.316
"HSLMDS [k=20] [kQuality=17] (NLDR)","HSLMDS [k=20] [kQuality=17] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.4,1,NA,0.136,0.625,NA,NA,NA,NA,NA,12,8.862,0.739,0.31
"HSLMDS [k=20] [kQuality=18] (NLDR)","HSLMDS [k=20] [kQuality=18] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.4,1,NA,0.117,0.25,NA,NA,NA,NA,NA,11,7.862,0.715,0.322
"HSLMDS [k=20] [kQuality=19] (NLDR)","HSLMDS [k=20] [kQuality=19] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.4,1,NA,0.117,0.25,NA,NA,NA,NA,NA,11,7.862,0.715,0.322
"HSLMDS [k=20] [kQuality=20] (NLDR)","HSLMDS [k=20] [kQuality=20] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.4,1,NA,0.081,0.375,NA,NA,NA,NA,NA,11,8.103,0.737,0.344
"HSLMDS [k=20] [kQuality=21] (NLDR)","HSLMDS [k=20] [kQuality=21] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.4,1,NA,0.136,0.625,NA,NA,NA,NA,NA,12,8.862,0.739,0.31
"HSLMDS [k=20] [kQuality=22] (NLDR)","HSLMDS [k=20] [kQuality=22] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.4,1,NA,0.137,0.625,NA,NA,NA,NA,NA,12,8.862,0.739,0.31
"HSLMDS [k=20] [kQuality=23] (NLDR)","HSLMDS [k=20] [kQuality=23] (NLDR)","HSLMDS (NLDR)",20,NA,0.71,0.4,1,NA,0.111,0.625,NA,NA,NA,NA,NA,11,7.724,0.702,0.309
"HSLMDS [k=21] (rNLDR)","HSLMDS [k=21] (rNLDR)","HSLMDS (rNLDR)",21,NA,0.71,0.41,1,NA,5.468,0.375,NA,NA,NA,NA,NA,10,6.759,0.676,0.319
"HSLMDS [k=21] [kQuality=18] (NLDR)","HSLMDS [k=21] [kQuality=18] (NLDR)","HSLMDS (NLDR)",21,NA,0.71,0.4,1,NA,0.242,0.375,NA,NA,NA,NA,NA,9,5.793,0.644,0.322
"HSLMDS [k=21] [kQuality=19] (NLDR)","HSLMDS [k=21] [kQuality=19] (NLDR)","HSLMDS (NLDR)",21,NA,0.71,0.4,1,NA,0.097,0.5,NA,NA,NA,NA,NA,11,7.966,0.724,0.331
"HSLMDS [k=21] [kQuality=20] (NLDR)","HSLMDS [k=21] [kQuality=20] (NLDR)","HSLMDS (NLDR)",21,NA,0.72,0.41,1,NA,0.076,0.375,NA,NA,NA,NA,NA,9,5.966,0.663,0.341
"HSLMDS [k=21] [kQuality=21] (NLDR)","HSLMDS [k=21] [kQuality=21] (NLDR)","HSLMDS (NLDR)",21,NA,0.72,0.41,1,NA,0.073,0.25,NA,NA,NA,NA,NA,10,6.931,0.693,0.336
"HSLMDS [k=21] [kQuality=22] (NLDR)","HSLMDS [k=21] [kQuality=22] (NLDR)","HSLMDS (NLDR)",21,NA,0.71,0.41,1,NA,0.069,0.375,NA,NA,NA,NA,NA,9,5.966,0.663,0.341
"HSLMDS [k=21] [kQuality=23] (NLDR)","HSLMDS [k=21] [kQuality=23] (NLDR)","HSLMDS (NLDR)",21,NA,0.72,0.41,1,NA,0.072,0.25,NA,NA,NA,NA,NA,10,6.931,0.693,0.336
"HSLMDS [k=21] [kQuality=24] (NLDR)","HSLMDS [k=21] [kQuality=24] (NLDR)","HSLMDS (NLDR)",21,NA,0.72,0.41,1,NA,0.074,0.25,NA,NA,NA,NA,NA,10,6.931,0.693,0.336
"HSLMDS [k=22] (rNLDR)","HSLMDS [k=22] (rNLDR)","HSLMDS (rNLDR)",22,NA,0.72,0.42,1,NA,11.519,0.625,NA,NA,NA,NA,NA,9,5.931,0.659,0.338
"HSLMDS [k=22] [kQuality=19] (NLDR)","HSLMDS [k=22] [kQuality=19] (NLDR)","HSLMDS (NLDR)",22,NA,0.72,0.43,1,NA,0.109,0.75,NA,NA,NA,NA,NA,9,5.724,0.636,0.315
"HSLMDS [k=22] [kQuality=20] (NLDR)","HSLMDS [k=22] [kQuality=20] (NLDR)","HSLMDS (NLDR)",22,NA,0.72,0.42,1,NA,0.119,0.75,NA,NA,NA,NA,NA,9,5.69,0.632,0.311
"HSLMDS [k=22] [kQuality=21] (NLDR)","HSLMDS [k=22] [kQuality=21] (NLDR)","HSLMDS (NLDR)",22,NA,0.72,0.41,1,NA,0.126,0.75,NA,NA,NA,NA,NA,7,3.862,0.552,0.302
"HSLMDS [k=22] [kQuality=22] (NLDR)","HSLMDS [k=22] [kQuality=22] (NLDR)","HSLMDS (NLDR)",22,NA,0.72,0.43,1,NA,0.11,0.75,NA,NA,NA,NA,NA,9,5.724,0.636,0.315
"HSLMDS [k=22] [kQuality=23] (NLDR)","HSLMDS [k=22] [kQuality=23] (NLDR)","HSLMDS (NLDR)",22,NA,0.72,0.41,1,NA,0.127,0.75,NA,NA,NA,NA,NA,7,3.862,0.552,0.302
"HSLMDS [k=22] [kQuality=24] (NLDR)","HSLMDS [k=22] [kQuality=24] (NLDR)","HSLMDS (NLDR)",22,NA,0.72,0.43,1,NA,0.219,0.5,NA,NA,NA,NA,NA,10,7.103,0.71,0.353
"HSLMDS [k=22] [kQuality=25] (NLDR)","HSLMDS [k=22] [kQuality=25] (NLDR)","HSLMDS (NLDR)",22,NA,0.72,0.43,1,NA,0.22,0.5,NA,NA,NA,NA,NA,10,7.103,0.71,0.353
"HSLMDS [k=23] (rNLDR)","HSLMDS [k=23] (rNLDR)","HSLMDS (rNLDR)",23,NA,0.72,0.41,1,NA,6.668,0.5,NA,NA,NA,NA,NA,11,7.897,0.718,0.325
"HSLMDS [k=23] [kQuality=20] (NLDR)","HSLMDS [k=23] [kQuality=20] (NLDR)","HSLMDS (NLDR)",23,NA,0.71,0.39,1,NA,0.111,0.75,NA,NA,NA,NA,NA,11,7.759,0.705,0.312
"HSLMDS [k=23] [kQuality=21] (NLDR)","HSLMDS [k=23] [kQuality=21] (NLDR)","HSLMDS (NLDR)",23,NA,0.7,0.37,1,NA,0.086,0.625,NA,NA,NA,NA,NA,11,7.724,0.702,0.309
"HSLMDS [k=23] [kQuality=22] (NLDR)","HSLMDS [k=23] [kQuality=22] (NLDR)","HSLMDS (NLDR)",23,NA,0.71,0.4,1,NA,0.087,0.75,NA,NA,NA,NA,NA,9,5.724,0.636,0.315
"HSLMDS [k=23] [kQuality=23] (NLDR)","HSLMDS [k=23] [kQuality=23] (NLDR)","HSLMDS (NLDR)",23,NA,0.71,0.39,1,NA,0.112,0.75,NA,NA,NA,NA,NA,11,7.759,0.705,0.312
"HSLMDS [k=23] [kQuality=24] (NLDR)","HSLMDS [k=23] [kQuality=24] (NLDR)","HSLMDS (NLDR)",23,NA,0.72,0.42,1,NA,0.087,0.875,NA,NA,NA,NA,NA,7,4,0.571,0.321
"HSLMDS [k=23] [kQuality=25] (NLDR)","HSLMDS [k=23] [kQuality=25] (NLDR)","HSLMDS (NLDR)",23,NA,0.72,0.41,1,NA,0.096,0.5,NA,NA,NA,NA,NA,11,7.793,0.708,0.316
"HSLMDS [k=23] [kQuality=26] (NLDR)","HSLMDS [k=23] [kQuality=26] (NLDR)","HSLMDS (NLDR)",23,NA,0.71,0.41,1,NA,0.098,0.75,NA,NA,NA,NA,NA,8,4.793,0.599,0.313
"HSLMDS [k=24] (rNLDR)","HSLMDS [k=24] (rNLDR)","HSLMDS (rNLDR)",24,NA,0.74,0.47,1,NA,5.568,0.75,NA,NA,NA,NA,NA,10,7.207,0.721,0.364
"HSLMDS [k=24] [kQuality=21] (NLDR)","HSLMDS [k=24] [kQuality=21] (NLDR)","HSLMDS (NLDR)",24,NA,0.71,0.4,1,NA,0.095,0.5,NA,NA,NA,NA,NA,10,6.897,0.69,0.333
