"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.68,0.33,3,0,0.087,0.75,NA,NA,NA,NA,NA,2,0.759,0.379,0.308
"DRR","DRR","DRR",NA,NA,0.59,0.16,3,0.026,2.826,0.375,NA,NA,NA,NA,NA,12,6.69,0.557,0.129
"HSLMDS [k=10] (rNLDR)","HSLMDS [k=10] (rNLDR)","HSLMDS (rNLDR)",10,NA,0.72,0.41,1,NA,6.466,0.25,NA,NA,NA,NA,NA,11,8.069,0.734,0.341
"HSLMDS [k=10] [kQuality=10] (NLDR)","HSLMDS [k=10] [kQuality=10] (NLDR)","HSLMDS (NLDR)",10,NA,0.71,0.41,1,NA,0.104,0.75,NA,NA,NA,NA,NA,10,6.966,0.697,0.339
"HSLMDS [k=10] [kQuality=11] (NLDR)","HSLMDS [k=10] [kQuality=11] (NLDR)","HSLMDS (NLDR)",10,NA,0.71,0.41,1,NA,0.106,0.75,NA,NA,NA,NA,NA,10,6.966,0.697,0.339
"HSLMDS [k=10] [kQuality=12] (NLDR)","HSLMDS [k=10] [kQuality=12] (NLDR)","HSLMDS (NLDR)",10,NA,0.71,0.41,1,NA,0.106,0.75,NA,NA,NA,NA,NA,10,6.966,0.697,0.339
"HSLMDS [k=10] [kQuality=13] (NLDR)","HSLMDS [k=10] [kQuality=13] (NLDR)","HSLMDS (NLDR)",10,NA,0.71,0.41,1,NA,0.097,0.75,NA,NA,NA,NA,NA,10,6.931,0.693,0.336
"HSLMDS [k=10] [kQuality=7] (NLDR)","HSLMDS [k=10] [kQuality=7] (NLDR)","HSLMDS (NLDR)",10,NA,0.72,0.42,1,NA,0.071,0.5,NA,NA,NA,NA,NA,9,5.966,0.663,0.341
"HSLMDS [k=10] [kQuality=8] (NLDR)","HSLMDS [k=10] [kQuality=8] (NLDR)","HSLMDS (NLDR)",10,NA,0.72,0.42,1,NA,0.072,0.5,NA,NA,NA,NA,NA,9,5.966,0.663,0.341
"HSLMDS [k=10] [kQuality=9] (NLDR)","HSLMDS [k=10] [kQuality=9] (NLDR)","HSLMDS (NLDR)",10,NA,0.71,0.41,1,NA,0.09,0.75,NA,NA,NA,NA,NA,10,6.931,0.693,0.336
"HSLMDS [k=11] (rNLDR)","HSLMDS [k=11] (rNLDR)","HSLMDS (rNLDR)",11,NA,0.71,0.4,1,NA,5.183,0.5,NA,NA,NA,NA,NA,11,8.172,0.743,0.35
"HSLMDS [k=11] [kQuality=10] (NLDR)","HSLMDS [k=11] [kQuality=10] (NLDR)","HSLMDS (NLDR)",11,NA,0.71,0.39,1,NA,0.074,0.5,NA,NA,NA,NA,NA,11,8.103,0.737,0.344
"HSLMDS [k=11] [kQuality=11] (NLDR)","HSLMDS [k=11] [kQuality=11] (NLDR)","HSLMDS (NLDR)",11,NA,0.71,0.39,1,NA,0.07,0.5,NA,NA,NA,NA,NA,11,8.103,0.737,0.344
